output	source	source_sha256	output_sha256	license	modification
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_ape_hair.png	see owning LICENSE-media.md and tools/r10_art	-	04d76a2e950b92226e2429d9ea31cee17176724ff2d7e0c120cc43de9d0a5186	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_arrow.png	see owning LICENSE-media.md and tools/r10_art	-	30019aa393e721819473cd5b2fdb8b2d3203c49417f533350def28c62c0d56f5	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_bear_claw.png	see owning LICENSE-media.md and tools/r10_art	-	522e1dbb916b48651d91a7eb7602df943bb9821f23e2bc5957b5b3512f7e2f77	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_boar_tusk.png	docs/research/r10-visuals/sources/boar-tusk-imagegen.png	e5568775c500774feb78308f1dc981a474ffaf53caf55b751f952cb4435098c2	f14e384880cc7d0a04f04bca681f3866f15a15e1f01ea6dc9a1775aa7a6e42d8	Grudgelands project; CC0 1.0	trim; point resize 14x14; center extent 16x16; strip metadata; prompt_sha256=8d13f0242fcf449745c837c9e89fd99362d230d363501b7eb64ca6294aa181c1
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_bone.png	see owning LICENSE-media.md and tools/r10_art	-	63fc62c544549503e18321f78f92fbad2ebd86f353893ba607eba3c8e9c50910	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_croc_tooth.png	see owning LICENSE-media.md and tools/r10_art	-	6d6578e52177c1e2cd976f66de328adb067218024966d9b3723c54da72498b22	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_fallen_crown.png	see owning LICENSE-media.md and tools/r10_art	-	5a5cdb777de9087928b09eb9ce0954ce0699d2ca525eb12fe19948c61f734ff1	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_fang.png	see owning LICENSE-media.md and tools/r10_art	-	6a39dc04a02acf367c9513275d9a4bcc2d6241224c138fad6177473b8f064885	owning ledger	derived/copy as ledgered
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_feather.png	reference_projects/VoxeLibre/textures/mcl_mobitems_feather.png	917c497297cd99e446f27ab37d7798ba4985bb6f7c932a18cb6280ed599740b0	917c497297cd99e446f27ab37d7798ba4985bb6f7c932a18cb6280ed599740b0	XSSheep / VoxeLibre contributors; CC BY-SA 4.0	copy/rename
mods/ENTITIES/grug_mobs/textures/grug_mobs_item_heavy_cloth.png	see owning LICENSE-media.md and tools/r10_art	-	df89e6a7115f982498c24bde5d67e131bff5ed93ae16d65d1384edf2c0137d38	owning ledger	derived/copy as ledgered
