item_id	common_reference_copper	price_rule
default:axe_bronze	50	tier tool
default:axe_steel	98	tier tool
default:axe_stone	10	starter fixed
default:axe_wood	5	starter fixed
default:pick_bronze	50	tier tool
default:pick_steel	98	tier tool
default:pick_stone	10	starter fixed
default:pick_wood	5	starter fixed
default:shovel_bronze	50	tier tool
default:shovel_steel	98	tier tool
default:shovel_stone	10	starter fixed
default:shovel_wood	5	starter fixed
default:sword_stone	15	starter fixed
default:sword_wood	5	starter fixed
grug_farming:hoe	5	starter fixed
grug_farming:hoe_abyssal_steel	269	tier tool
grug_farming:hoe_bronze	50	tier tool
grug_farming:hoe_embersteel	192	tier tool
grug_farming:hoe_iron	70	tier tool
grug_farming:hoe_silversteel	137	tier tool
grug_farming:hoe_steel	98	tier tool
grug_gear:bow_abyssal_steel	269	tier weapon
grug_gear:bow_bronze	50	tier weapon
grug_gear:bow_embersteel	192	tier weapon
grug_gear:bow_iron	70	tier weapon
grug_gear:bow_silversteel	137	tier weapon
grug_gear:bow_steel	98	tier weapon
grug_gear:bow_wood	15	starter fixed
grug_gear:chest_cloth_heavy	78	tier chest
grug_gear:chest_cloth_patch	40	tier chest
grug_gear:chest_cloth_silk	154	tier chest
grug_gear:chest_cloth_silkweave	110	tier chest
grug_gear:chest_cloth_stormweave	215	tier chest
grug_gear:chest_cloth_woven	56	tier chest
grug_gear:chest_leather_cured	56	tier chest
grug_gear:chest_leather_heavy	78	tier chest
grug_gear:chest_leather_light	40	tier chest
grug_gear:chest_leather_nightscale	215	tier chest
grug_gear:chest_leather_scaled	110	tier chest
grug_gear:chest_leather_sleek	154	tier chest
grug_gear:chest_metal_abyssal_steel	215	tier chest
grug_gear:chest_metal_bronze	40	tier chest
grug_gear:chest_metal_embersteel	154	tier chest
grug_gear:chest_metal_iron	56	tier chest
grug_gear:chest_metal_silversteel	110	tier chest
grug_gear:chest_metal_steel	78	tier chest
grug_gear:dagger_abyssal_steel	269	tier weapon
grug_gear:dagger_bronze	50	tier weapon
grug_gear:dagger_embersteel	192	tier weapon
grug_gear:dagger_iron	70	tier weapon
grug_gear:dagger_silversteel	137	tier weapon
grug_gear:dagger_steel	98	tier weapon
grug_gear:feet_cloth_heavy	49	tier other
grug_gear:feet_cloth_patch	25	tier other
grug_gear:feet_cloth_silk	96	tier other
grug_gear:feet_cloth_silkweave	69	tier other
grug_gear:feet_cloth_stormweave	134	tier other
grug_gear:feet_cloth_woven	35	tier other
grug_gear:feet_leather_cured	35	tier other
grug_gear:feet_leather_heavy	49	tier other
grug_gear:feet_leather_light	25	tier other
grug_gear:feet_leather_nightscale	134	tier other
grug_gear:feet_leather_scaled	69	tier other
grug_gear:feet_leather_sleek	96	tier other
grug_gear:feet_metal_abyssal_steel	134	tier other
grug_gear:feet_metal_bronze	25	tier other
grug_gear:feet_metal_embersteel	96	tier other
grug_gear:feet_metal_iron	35	tier other
grug_gear:feet_metal_silversteel	69	tier other
grug_gear:feet_metal_steel	49	tier other
grug_gear:greataxe_abyssal_steel	269	tier weapon
grug_gear:greataxe_bronze	50	tier weapon
grug_gear:greataxe_embersteel	192	tier weapon
grug_gear:greataxe_iron	70	tier weapon
grug_gear:greataxe_silversteel	137	tier weapon
grug_gear:greataxe_steel	98	tier weapon
grug_gear:head_cloth_heavy	49	tier other
grug_gear:head_cloth_patch	25	tier other
grug_gear:head_cloth_silk	96	tier other
grug_gear:head_cloth_silkweave	69	tier other
grug_gear:head_cloth_stormweave	134	tier other
grug_gear:head_cloth_woven	35	tier other
grug_gear:head_leather_cured	35	tier other
grug_gear:head_leather_heavy	49	tier other
grug_gear:head_leather_light	25	tier other
grug_gear:head_leather_nightscale	134	tier other
grug_gear:head_leather_scaled	69	tier other
grug_gear:head_leather_sleek	96	tier other
grug_gear:head_metal_abyssal_steel	134	tier other
grug_gear:head_metal_bronze	25	tier other
grug_gear:head_metal_embersteel	96	tier other
grug_gear:head_metal_iron	35	tier other
grug_gear:head_metal_silversteel	69	tier other
grug_gear:head_metal_steel	49	tier other
grug_gear:legs_cloth_heavy	49	tier other
grug_gear:legs_cloth_patch	25	tier other
grug_gear:legs_cloth_silk	96	tier other
grug_gear:legs_cloth_silkweave	69	tier other
grug_gear:legs_cloth_stormweave	134	tier other
grug_gear:legs_cloth_woven	35	tier other
grug_gear:legs_leather_cured	35	tier other
grug_gear:legs_leather_heavy	49	tier other
grug_gear:legs_leather_light	25	tier other
grug_gear:legs_leather_nightscale	134	tier other
grug_gear:legs_leather_scaled	69	tier other
grug_gear:legs_leather_sleek	96	tier other
grug_gear:legs_metal_abyssal_steel	134	tier other
grug_gear:legs_metal_bronze	25	tier other
grug_gear:legs_metal_embersteel	96	tier other
grug_gear:legs_metal_iron	35	tier other
grug_gear:legs_metal_silversteel	69	tier other
grug_gear:legs_metal_steel	49	tier other
grug_gear:shield_abyssal_steel	134	tier other
grug_gear:shield_bronze	25	tier other
grug_gear:shield_embersteel	96	tier other
grug_gear:shield_iron	35	tier other
grug_gear:shield_silversteel	69	tier other
grug_gear:shield_steel	49	tier other
grug_gear:spellbook_abyssal_steel	134	tier other
grug_gear:spellbook_bronze	25	tier other
grug_gear:spellbook_embersteel	96	tier other
grug_gear:spellbook_iron	35	tier other
grug_gear:spellbook_silversteel	69	tier other
grug_gear:spellbook_steel	49	tier other
grug_gear:staff_abyssal_steel	269	tier weapon
grug_gear:staff_bronze	50	tier weapon
grug_gear:staff_embersteel	192	tier weapon
grug_gear:staff_iron	70	tier weapon
grug_gear:staff_silversteel	137	tier weapon
grug_gear:staff_steel	98	tier weapon
grug_gear:staff_wood	15	starter fixed
grug_gear:sword_abyssal_steel	269	tier weapon
grug_gear:sword_bronze	50	tier weapon
grug_gear:sword_embersteel	192	tier weapon
grug_gear:sword_iron	70	tier weapon
grug_gear:sword_silversteel	137	tier weapon
grug_gear:sword_steel	98	tier weapon
grug_gear:wand_abyssal_steel	269	tier weapon
grug_gear:wand_bronze	50	tier weapon
grug_gear:wand_embersteel	192	tier weapon
grug_gear:wand_iron	70	tier weapon
grug_gear:wand_silversteel	137	tier weapon
grug_gear:wand_steel	98	tier weapon
grug_materials:axe_abyssal_steel	269	tier tool
grug_materials:axe_embersteel	192	tier tool
grug_materials:axe_iron	70	tier tool
grug_materials:axe_silversteel	137	tier tool
grug_materials:pick_abyssal_steel	269	tier tool
