variant	population	metric	median_us	min_us	max_us
baseline	all	plan_us	3363850	3288639	3410099
baseline	all	writer_us	3317460	3122945	3425280
baseline	all	total_us	6681310	6411584	6835379
baseline	surface	plan_us	2981987	2924787	3020813
baseline	surface	writer_us	2917577	2788721	3042449
baseline	surface	total_us	5899564	5713508	6063262
baseline	deep	plan_us	381863	363852	389286
baseline	deep	writer_us	382831	334224	399883
baseline	deep	total_us	772117	698076	781746
optimized	all	plan_us	3041099	2984884	3192423
optimized	all	writer_us	3018779	3014886	3054424
optimized	all	total_us	6095523	6003663	6207309
optimized	surface	plan_us	2695747	2657309	2816735
optimized	surface	writer_us	2679652	2637839	2716388
optimized	surface	total_us	5412135	5295148	5496387
optimized	deep	plan_us	345352	327575	375688
optimized	deep	writer_us	338036	335234	380940
optimized	deep	total_us	708515	683388	710922
