variant	owner	plan_median_us	writer_median_us	callback_median_us	callback_min_us	callback_max_us
baseline	-1872,-32,-2592	349068	187555	536628	521482	544821
baseline	-1792,-32,-2592	248626	202175	447952	438740	457619
baseline	-1872,-32,-2512	261971	261213	528979	512578	546015
baseline	-32,-32,-1552	343400	213368	565128	533083	579525
baseline	-32,48,-272	339306	420008	759314	736382	799684
baseline	-752,-32,-32	441668	393106	840397	809151	845763
baseline	-432,-32,-1552	376907	503379	860350	853326	928929
baseline	-2752,-32,-32	121646	290833	412950	371432	423063
baseline	-3312,208,-112	493050	437260	931664	930310	961069
baseline	-1712,-912,128	381863	382831	772117	698076	781746
optimized	-1872,-32,-2592	306895	179273	486168	481224	509609
optimized	-1792,-32,-2592	209417	188603	398020	396409	416577
optimized	-1872,-32,-2512	229741	236389	468712	457752	469314
optimized	-32,-32,-1552	319196	194336	513532	498041	520832
optimized	-32,48,-272	323945	384485	716509	683095	728281
optimized	-752,-32,-32	406262	375036	781298	765716	797272
optimized	-432,-32,-1552	362572	459338	824314	819293	832530
optimized	-2752,-32,-32	97044	268684	365368	363531	376164
optimized	-3312,208,-112	442371	388784	854626	823532	855951
optimized	-1712,-912,128	345352	338036	708515	683388	710922
