kind	name	count	total	min	max	mean
metric	plan_us	10	3402545	132273	500494	340254.500
metric	writer_us	10	12349358	210572	7102933	1234935.800
metric	total_us	10	15751903	354569	7469879	1575190.300
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	4164	0	1459	416.400
metric	r5_runs	10	211426	0	25600	21142.600
metric	vm_get_emerged_area_us	10	24	2	3	2.400
metric	vm_get_data_us	10	39336	3868	4069	3933.600
metric	vm_get_param2_data_us	10	39362	3871	4126	3936.200
metric	vm_get_light_data_us	10	71045	0	8408	7104.500
metric	vm_set_data_us	10	70245	6919	7445	7024.500
metric	vm_set_param2_data_us	10	13755	0	6883	1375.500
metric	vm_set_lighting_us	10	1342	0	169	134.200
metric	vm_calc_lighting_us	10	37850	0	6684	3785.000
metric	vm_set_light_data_us	10	61136	0	6973	6113.600
metric	vm_update_liquids_us	10	8410	0	1029	841.000
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
