kind	name	count	total	min	max	mean
metric	plan_us	10	4246716	124481	637935	424671.600
metric	writer_us	10	10740030	149736	5745862	1074003.000
metric	total_us	10	14986746	401733	6223519	1498674.600
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3215	0	919	321.500
metric	r5_runs	10	192780	0	25600	19278.000
metric	vm_get_emerged_area_us	10	26	2	3	2.600
metric	vm_get_data_us	10	38870	3860	3931	3887.000
metric	vm_get_param2_data_us	10	38771	3859	3931	3877.100
metric	vm_get_light_data_us	10	70424	0	8158	7042.400
metric	vm_set_data_us	10	69678	6881	7410	6967.800
metric	vm_set_param2_data_us	10	27592	0	7141	2759.200
metric	vm_set_lighting_us	10	1425	0	270	142.500
metric	vm_calc_lighting_us	10	44323	0	7431	4432.300
metric	vm_set_light_data_us	10	60421	0	6794	6042.100
metric	vm_update_liquids_us	10	8607	0	1080	860.700
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	5	-	-	-	-
writer_result	applied_cplq	4	-	-	-	-
callbacks	all	10	-	-	-	-
