kind	name	count	total	min	max	mean
metric	plan_us	10	3998330	146416	614282	399833.000
metric	writer_us	10	10114200	169490	5888841	1011420.000
metric	total_us	10	14112530	366080	6429562	1411253.000
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	2563	0	919	256.300
metric	r5_runs	10	208096	0	25600	20809.600
metric	vm_get_emerged_area_us	10	26	2	3	2.600
metric	vm_get_data_us	10	39117	3866	4188	3911.700
metric	vm_get_param2_data_us	10	38696	3840	3928	3869.600
metric	vm_get_light_data_us	10	70492	0	8103	7049.200
metric	vm_set_data_us	10	70314	6852	7853	7031.400
metric	vm_set_param2_data_us	10	13613	0	6832	1361.300
metric	vm_set_lighting_us	10	1449	0	190	144.900
metric	vm_calc_lighting_us	10	45072	0	9342	4507.200
metric	vm_set_light_data_us	10	60642	0	6787	6064.200
metric	vm_update_liquids_us	10	8372	0	1041	837.200
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
