kind	name	count	total	min	max	mean
metric	plan_us	10	4182293	143673	617048	418229.300
metric	writer_us	10	10328775	147261	6051004	1032877.500
metric	total_us	10	14511068	400234	6668052	1451106.800
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	2563	0	919	256.300
metric	r5_runs	10	208096	0	25600	20809.600
metric	vm_get_emerged_area_us	10	27	2	5	2.700
metric	vm_get_data_us	10	38846	3858	3918	3884.600
metric	vm_get_param2_data_us	10	38555	3841	3871	3855.500
metric	vm_get_light_data_us	10	70687	0	8290	7068.700
metric	vm_set_data_us	10	69793	6874	7222	6979.300
metric	vm_set_param2_data_us	10	13585	0	6845	1358.500
metric	vm_set_lighting_us	10	1343	0	184	134.300
metric	vm_calc_lighting_us	10	42612	0	7740	4261.200
metric	vm_set_light_data_us	10	60555	0	6824	6055.500
metric	vm_update_liquids_us	10	8488	0	1039	848.800
writer_result	applied_c	1	-	-	-	-
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
