authority/protection	pre_closed/post_open/hard/prior/bypass/empty
authority/rare_route_sha256	908db2b9aa84a0eb68f10ea06199ecbb8875a5c0d83908cbd7e6c95956868ca9
authority/start	200/21/-200
content/p9g_sha256	39d47d632933fac63b7fe6c82f94d4e21d6a44d47a6f91539b0d3dee7e637c26
content/production_sha256	aa5d4f3204961e988996eb635737c106974e7a156280c050fef00bebce2826c6
executed_module	mods/BASE/default/mapgen.lua
executed_module	mods/CORE/grug_core/init.lua
executed_module	mods/CORE/grug_core/protection.lua
executed_module	mods/CORE/grug_core/zone_authority.lua
executed_module	mods/ENTITIES/grug_mobs/bandit.lua
executed_module	mods/ENTITIES/grug_mobs/bear.lua
executed_module	mods/ENTITIES/grug_mobs/boar.lua
executed_module	mods/ENTITIES/grug_mobs/boar_variants.lua
executed_module	mods/ENTITIES/grug_mobs/bog_fowl.lua
executed_module	mods/ENTITIES/grug_mobs/bog_ooze.lua
executed_module	mods/ENTITIES/grug_mobs/bone_weevil.lua
executed_module	mods/ENTITIES/grug_mobs/camps.lua
executed_module	mods/ENTITIES/grug_mobs/carrion_crow.lua
executed_module	mods/ENTITIES/grug_mobs/cave_bat.lua
executed_module	mods/ENTITIES/grug_mobs/cave_crawler.lua
executed_module	mods/ENTITIES/grug_mobs/crocodile.lua
executed_module	mods/ENTITIES/grug_mobs/eagle.lua
executed_module	mods/ENTITIES/grug_mobs/golem.lua
executed_module	mods/ENTITIES/grug_mobs/guard.lua
executed_module	mods/ENTITIES/grug_mobs/gull.lua
executed_module	mods/ENTITIES/grug_mobs/hyena.lua
executed_module	mods/ENTITIES/grug_mobs/init.lua
executed_module	mods/ENTITIES/grug_mobs/jungle_ape.lua
executed_module	mods/ENTITIES/grug_mobs/jungle_lynx.lua
executed_module	mods/ENTITIES/grug_mobs/kraken.lua
executed_module	mods/ENTITIES/grug_mobs/levels.lua
executed_module	mods/ENTITIES/grug_mobs/mirefolk.lua
executed_module	mods/ENTITIES/grug_mobs/panther.lua
executed_module	mods/ENTITIES/grug_mobs/parrot.lua
executed_module	mods/ENTITIES/grug_mobs/rabbit.lua
executed_module	mods/ENTITIES/grug_mobs/ram.lua
executed_module	mods/ENTITIES/grug_mobs/rares.lua
executed_module	mods/ENTITIES/grug_mobs/serpent.lua
executed_module	mods/ENTITIES/grug_mobs/skeleton_archer.lua
executed_module	mods/ENTITIES/grug_mobs/skeleton_raider.lua
executed_module	mods/ENTITIES/grug_mobs/spawn_policy.lua
executed_module	mods/ENTITIES/grug_mobs/spider.lua
executed_module	mods/ENTITIES/grug_mobs/stag.lua
executed_module	mods/ENTITIES/grug_mobs/wolf.lua
executed_module	mods/ENTITIES/grug_mobs/zebra.lua
executed_module	mods/ENTITIES/grug_mobs/zombie.lua
executed_module	mods/ENTITIES/grug_traders/vendors.lua
executed_module	mods/ITEMS/grug_gathering/catalog.lua
executed_module	mods/ITEMS/grug_gathering/harvest.lua
executed_module	mods/ITEMS/grug_gathering/init.lua
executed_module	mods/ITEMS/grug_gathering/nodes.lua
executed_module	mods/ITEMS/grug_materials/mining.lua
executed_module	mods/ITEMS/grug_materials/registry.lua
executed_module	mods/ITEMS/grug_nodes/ore_respawn.lua
executed_module	mods/ITEMS/grug_trees/init.lua
executed_module	mods/MAPGEN/grug_mapgen/init.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r6.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r6_content.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r6_settlement.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_consumer_payload.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_content.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_loader.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_manifest.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_mapgen.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_native.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_p9g.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_r6_manifest.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_runtime.lua
executed_module	mods/MAPGEN/grug_mapgen/wp40/r7_template_source.lua
executed_module	mods/PLAYER/grug_factions/init.lua
gathering/herb_authority	closed/authorized/single_registration
manifest/full_sha256	640d2623274756d0b0b4bb0de682a72a92a6f8bc87e5e6eaf66fbce74266938a
manifest/p9g_delta_sha256	1be34a63db318c1418a7fd5841a64e93d901e97b91f1953b3bb82acc836b55d7
native/allowlist_sha256	d1fe4ac1c7cbe5525af65bde48cc4309870c01e4d474785f2cf0cda3d2639480
