schema	grug_wp40_r7_micro_kat_receipt_v1
input_set_sha256	85cd850d7b71f785c432ff4d75fad93a5cab0b55d07b11a2bf88f7fc94775258
input_population	94
executed_module_population	65
executed_module_roster_sha256	f9dc620c110227ddc39afc9682bebe51e382caa4a62dd82c27b71c42496879ef
luajit_binary_sha256	4fd1f5075a6cb15c933f5abaf7ad4b203c8926ab27261c334b41c9bc5e40a1a6
puc51_binary_sha256	a1a427f38260513b64158630bc2b7d2fccfa31b48129efbfbcc60e02e4960a4f
luajit_output_sha256	5f47c741dd92bde34794b993413ed2907763495abf5b4a33c2986fe04054b9bc
puc51_output_sha256	5f47c741dd92bde34794b993413ed2907763495abf5b4a33c2986fe04054b9bc
canonical_output_filename	wp40-r7-micro-kat-output.tsv
canonical_output_sha256	5f47c741dd92bde34794b993413ed2907763495abf5b4a33c2986fe04054b9bc
canonical_output_bytes	5732
luajit_log_filename	wp40-r7-micro-kat-luajit.log
luajit_log_sha256	814fdab117d6055c8da8398101646b962304a33e7d5cbbb088a87bd2d82b4f30
luajit_log_bytes	123
luajit_exit_status	0
puc51_log_filename	wp40-r7-micro-kat-puc51.log
puc51_log_sha256	1de96fb7b5026e2aa70114891b2bcb5b472a3a452b1f47c4dbf51b72bc287c54
puc51_log_bytes	122
puc51_exit_status	0
byte_identical	true
input	mods/BASE/default/mapgen.lua	ddabba29f42c63755e931f1dec4c1efe4bed64480bd4512e035bb24581b99ef4
input	mods/BASE/default/nodes.lua	98c385aee7af663d956431886eb26c1a640ce2c059006695feec4c4fb1f241b0
input	mods/CORE/grug_core/init.lua	8bf641eb95e3bbec25c8c1f2d5858b99c08f292c5c1d140df57a9a1cd728f578
input	mods/CORE/grug_core/protection.lua	697842943092718c56c9ae34688182bf574b65c67c1fad079f60cafa9acbf71a
input	mods/CORE/grug_core/zone_authority.lua	e3c92d920154cb1b5e0b9b94d53c45e7634081140c68b4649f6e0737d957ca5f
input	mods/ENTITIES/grug_mobs/aggro.lua	79e06d36e0344694a24ec4c772554414b0468a619b6e02d1eca77a8dcf0d4015
input	mods/ENTITIES/grug_mobs/bandit.lua	3afec2ac0e0c5e3c1115902f7775731d3c45784d6e2a1a546a63d9eee09ba535
input	mods/ENTITIES/grug_mobs/bear.lua	c0abc6a89cc6df2a9deb4d2bad7027542fd0c33dfae7b200c98d1389f3351041
input	mods/ENTITIES/grug_mobs/boar.lua	4440cc54bd9979f5de5d8f80bab255962807e0db774562b431639226ac06405a
input	mods/ENTITIES/grug_mobs/boar_variants.lua	4b8966fa94263434a77abd04b4f016591b9543d6de697952388c4145413e4ef7
input	mods/ENTITIES/grug_mobs/bog_fowl.lua	8554474fd73f58e735196494deb6a58a145c558e6f2a65079d311243ca2da368
input	mods/ENTITIES/grug_mobs/bog_ooze.lua	b00bdbd7d04c0dd18ea3af25f86cf46183574ea4c495ab1a723df90c262f2750
input	mods/ENTITIES/grug_mobs/bone_weevil.lua	edbe004f3206fde299545b2cee11888264ccf948b26aff13138caa45017588ed
input	mods/ENTITIES/grug_mobs/camps.lua	88cbef285562ed9629b323fa2dde0e0c4e20a43524a9a772b2d925d3b0ecf4c0
input	mods/ENTITIES/grug_mobs/carrion_crow.lua	9bf58cb98eae750e43b0cd0af742788d64fcf4547b82278ab8e2c3809554ae79
input	mods/ENTITIES/grug_mobs/cave_bat.lua	8fd04632e79eb5ecaae1eae05eea4184071088109d56226b625c3e70aa4ba49f
input	mods/ENTITIES/grug_mobs/cave_crawler.lua	b6e53dec818cc3d095d853d4cdfb4079b265f1f987516b3a431f53beddc994ef
input	mods/ENTITIES/grug_mobs/crocodile.lua	9de1a281707ad3e1e1f1fa97eae16a7cdef2b6399aa6396c232fd2414f4752a4
input	mods/ENTITIES/grug_mobs/eagle.lua	6165c05374eca128d6781f49d3d749b88afda41e43258a2ab726163fc13d871a
input	mods/ENTITIES/grug_mobs/golem.lua	43a0d1fe1049d0fc1632a4ea376b86b5e8c4eb171de9d9fd1ca396584629e90e
input	mods/ENTITIES/grug_mobs/guard.lua	b81e4a220142c456a41e384d79f116a433a56f6b5f2e3d2bd7a7bc51e6192b78
input	mods/ENTITIES/grug_mobs/gull.lua	6401aa7396055b48a65bcd66ff5ef3f67681c986c52cfe692519c7e8ac5f4498
input	mods/ENTITIES/grug_mobs/hyena.lua	e06bca5d7553c121bc5f434d6149a728c0f47814466ba50a35c8696a86f95b6c
input	mods/ENTITIES/grug_mobs/init.lua	0370f4459380edd0a46045dac3cc4170d810652275a9f0dc983293bbbbf0b3da
input	mods/ENTITIES/grug_mobs/items.lua	9abce1d7a63433f62c6d0afc2715c229dd8659108bd15433cddfa73a4020c905
input	mods/ENTITIES/grug_mobs/jungle_ape.lua	0bfc84bbb1b8cf682a6996939b3c6bd12d3b32ab719f24cb2066c17a8ba28734
input	mods/ENTITIES/grug_mobs/jungle_lynx.lua	d60cfafba1cc62c094969a523c26560142927224877aac2bbf14c38795712f16
input	mods/ENTITIES/grug_mobs/kraken.lua	01129b59ce910d09562a106c4c99b61c461232f005b9b1e6fc19e6e127cc9edf
input	mods/ENTITIES/grug_mobs/levels.lua	63f67dcc8e387f6818b50b820e7e5a424682981cdc8319fe03d20d6f611b0d1e
