case_pack	resource	cell_x	cell_y	cell_z	tier	band	baseline_eligible	baseline_budget	baseline_planned	baseline_accepted	baseline_collisions	baseline_shortfall	baseline_placed	sampler_eligible	sampler_budget	sampler_planned	sampler_accepted	sampler_collisions	sampler_shortfall	sampler_placed
0	abyssal_crystal	-103	-123	10	6	deep_1500_1999	3359	2	1	1	0	0	2	3359	2	1	1	0	0	2
0	abyssal_crystal	-103	-123	11	6	deep_1500_1999	4089	3	2	2	0	0	3	4089	3	2	2	0	0	3
0	abyssal_crystal	-103	-123	12	6	deep_1500_1999	4096	3	2	2	0	0	3	4096	3	2	2	0	0	3
0	abyssal_crystal	-103	-123	8	6	deep_1500_1999	2578	2	1	1	0	0	2	2578	2	1	1	0	0	2
0	abyssal_crystal	-103	-123	9	6	deep_1500_1999	2805	1	1	1	0	0	1	2805	1	1	1	0	0	1
0	abyssal_crystal	-103	-124	10	6	deep_1500_1999	4021	2	1	1	0	0	2	4021	2	1	1	0	0	2
0	abyssal_crystal	-103	-124	11	6	deep_1500_1999	3961	2	1	1	0	0	2	3961	2	1	1	0	0	2
0	abyssal_crystal	-103	-124	12	6	deep_1500_1999	4039	2	1	1	0	0	2	4039	2	1	1	0	0	2
0	abyssal_crystal	-103	-124	8	6	deep_1500_1999	3976	2	1	1	0	0	2	3976	2	1	1	0	0	2
0	abyssal_crystal	-103	-124	9	6	deep_1500_1999	3962	2	1	1	0	0	2	3962	2	1	1	0	0	2
0	abyssal_crystal	-103	-125	10	6	deep_1500_1999	3638	3	2	2	0	0	3	3638	3	2	2	0	0	3
0	abyssal_crystal	-103	-125	10	6	deep_2000_floor	240	1	1	1	0	0	1	240	1	1	1	0	0	1
0	abyssal_crystal	-103	-125	11	6	deep_1500_1999	3832	2	1	1	0	0	2	3832	2	1	1	0	0	2
0	abyssal_crystal	-103	-125	11	6	deep_2000_floor	256	0	0	0	0	0	0	256	0	0	0	0	0	0
0	abyssal_crystal	-103	-125	12	6	deep_1500_1999	3737	2	1	1	0	0	2	3737	2	1	1	0	0	2
0	abyssal_crystal	-103	-125	12	6	deep_2000_floor	256	0	0	0	0	0	0	256	0	0	0	0	0	0
0	abyssal_crystal	-103	-125	8	6	deep_1500_1999	2372	1	1	1	0	0	1	2372	1	1	1	0	0	1
0	abyssal_crystal	-103	-125	8	6	deep_2000_floor	17	0	0	0	0	0	0	17	0	0	0	0	0	0
0	abyssal_crystal	-103	-125	9	6	deep_1500_1999	3426	2	1	1	0	0	2	3426	2	1	1	0	0	2
0	abyssal_crystal	-103	-125	9	6	deep_2000_floor	163	1	1	1	0	0	1	163	1	1	1	0	0	1
0	abyssal_crystal	-103	-126	10	6	deep_2000_floor	4006	3	2	2	0	0	3	4006	3	2	2	0	0	3
0	abyssal_crystal	-103	-126	11	6	deep_2000_floor	4021	3	2	2	0	0	3	4021	3	2	2	0	0	3
0	abyssal_crystal	-103	-126	12	6	deep_2000_floor	3984	3	2	2	0	0	3	3984	3	2	2	0	0	3
0	abyssal_crystal	-103	-126	8	6	deep_2000_floor	3873	2	1	1	0	0	2	3873	2	1	1	0	0	2
0	abyssal_crystal	-103	-126	9	6	deep_2000_floor	3975	3	2	2	0	0	3	3975	3	2	2	0	0	3
0	abyssal_crystal	-103	-127	10	6	deep_2000_floor	4037	3	2	2	0	0	3	4037	3	2	2	0	0	3
0	abyssal_crystal	-103	-127	11	6	deep_2000_floor	4096	3	2	2	0	0	3	4096	3	2	2	0	0	3
0	abyssal_crystal	-103	-127	12	6	deep_2000_floor	4082	3	2	2	0	0	3	4082	3	2	2	0	0	3
0	abyssal_crystal	-103	-127	8	6	deep_2000_floor	3993	3	2	2	0	0	3	3993	3	2	2	0	0	3
0	abyssal_crystal	-103	-127	9	6	deep_2000_floor	4068	3	2	2	0	0	3	4068	3	2	2	0	0	3
0	abyssal_crystal	-103	-53	10	5	ordinary	3815	2	1	1	0	0	2	3815	2	1	1	0	0	2
0	abyssal_crystal	-103	-53	11	5	ordinary	3960	2	1	1	0	0	2	3960	2	1	1	0	0	2
0	abyssal_crystal	-103	-53	12	5	ordinary	4096	2	1	1	0	0	2	4096	2	1	1	0	0	2
0	abyssal_crystal	-103	-53	8	5	ordinary	3411	2	1	1	0	0	2	3411	2	1	1	0	0	2
0	abyssal_crystal	-103	-53	9	5	ordinary	4047	2	1	1	0	0	2	4047	2	1	1	0	0	2
0	abyssal_crystal	-103	-54	10	5	ordinary	3341	2	1	1	0	0	2	3341	2	1	1	0	0	2
0	abyssal_crystal	-103	-54	11	5	ordinary	3245	2	1	1	0	0	2	3245	2	1	1	0	0	2
0	abyssal_crystal	-103	-54	12	5	ordinary	4096	2	1	1	0	0	2	4096	2	1	1	0	0	2
0	abyssal_crystal	-103	-54	8	5	ordinary	3144	1	1	1	0	0	1	3144	1	1	1	0	0	1
0	abyssal_crystal	-103	-54	9	5	ordinary	3423	1	1	1	0	0	1	3423	1	1	1	0	0	1
0	abyssal_crystal	-103	-55	10	5	ordinary	3921	2	1	1	0	0	2	3921	2	1	1	0	0	2
0	abyssal_crystal	-103	-55	11	5	ordinary	3944	2	1	1	0	0	2	3944	2	1	1	0	0	2
0	abyssal_crystal	-103	-55	12	5	ordinary	4096	2	1	1	0	0	2	4096	2	1	1	0	0	2
0	abyssal_crystal	-103	-55	8	5	ordinary	2899	2	1	1	0	0	2	2899	2	1	1	0	0	2
0	abyssal_crystal	-103	-55	9	5	ordinary	3151	2	1	1	0	0	2	3151	2	1	1	0	0	2
0	abyssal_crystal	-103	-56	10	5	ordinary	4096	2	1	1	0	0	2	4096	2	1	1	0	0	2
0	abyssal_crystal	-103	-56	11	5	ordinary	4096	2	1	1	0	0	2	4096	2	1	1	0	0	2
0	abyssal_crystal	-103	-56	12	5	ordinary	3933	2	1	1	0	0	2	3933	2	1	1	0	0	2
0	abyssal_crystal	-103	-56	8	5	ordinary	4085	2	1	1	0	0	2	4085	2	1	1	0	0	2
0	abyssal_crystal	-103	-56	9	5	ordinary	4042	2	1	1	0	0	2	4042	2	1	1	0	0	2
0	abyssal_crystal	-103	-57	10	5	ordinary	4086	2	1	1	0	0	2	4086	2	1	1	0	0	2
0	abyssal_crystal	-103	-57	11	5	ordinary	4009	2	1	1	0	0	2	4009	2	1	1	0	0	2
0	abyssal_crystal	-103	-57	12	5	ordinary	4020	2	1	1	0	0	2	4020	2	1	1	0	0	2
0	abyssal_crystal	-103	-57	8	5	ordinary	3898	2	1	1	0	0	2	3898	2	1	1	0	0	2
0	abyssal_crystal	-103	-57	9	5	ordinary	4068	2	1	1	0	0	2	4068	2	1	1	0	0	2
0	abyssal_crystal	-103	-63	10	5	ordinary	2037	1	1	1	0	0	1	2037	1	1	1	0	0	1
0	abyssal_crystal	-103	-63	10	6	ordinary	1901	1	1	1	0	0	1	1901	1	1	1	0	0	1
0	abyssal_crystal	-103	-63	11	5	ordinary	2020	1	1	1	0	0	1	2020	1	1	1	0	0	1
0	abyssal_crystal	-103	-63	11	6	ordinary	1940	1	1	1	0	0	1	1940	1	1	1	0	0	1
0	abyssal_crystal	-103	-63	12	5	ordinary	2045	1	1	1	0	0	1	2045	1	1	1	0	0	1
0	abyssal_crystal	-103	-63	12	6	ordinary	2047	1	1	1	0	0	1	2047	1	1	1	0	0	1
