resource	tier	variant	eligible	budget	planned	accepted	collisions	shortfall	placed
abyssal_crystal	5	baseline	3713839	1808	996	996	0	0	1808
abyssal_crystal	5	sampler	3713839	1808	996	996	0	0	1808
abyssal_crystal	6	baseline	7561000	4533	2808	2808	0	0	4533
abyssal_crystal	6	sampler	7561000	4533	2808	2808	0	0	4533
citrine	2	baseline	1697741	127	127	127	0	0	127
citrine	2	sampler	1697741	127	127	127	0	0	127
citrine	3	baseline	1453142	265	265	265	0	0	265
citrine	3	sampler	1453142	265	265	265	0	0	265
citrine	4	baseline	1397282	460	363	363	0	0	460
citrine	4	sampler	1397282	460	363	363	0	0	460
citrine	5	baseline	2929045	975	755	755	0	0	975
citrine	5	sampler	2929045	975	755	755	0	0	975
citrine	6	baseline	4919670	1954	1365	1365	0	0	1954
citrine	6	sampler	4919670	1954	1365	1365	0	0	1954
coal	1	baseline	1523806	11909	1565	1565	0	0	11909
coal	1	sampler	1523806	11909	1565	1565	0	0	11909
coal	2	baseline	1697741	13260	1712	1712	0	0	13260
coal	2	sampler	1697741	13260	1712	1712	0	0	13260
coal	3	baseline	1453142	11349	1481	1481	0	0	11349
coal	3	sampler	1453142	11349	1481	1481	0	0	11349
coal	4	baseline	2838672	22181	2897	2897	0	0	22181
coal	4	sampler	2838672	22181	2897	2897	0	0	22181
coal	5	baseline	3713839	29012	3821	3821	3	0	29012
coal	5	sampler	3713839	29012	3821	3821	3	0	29012
coal	6	baseline	7561000	72303	9691	9691	11	0	72303
coal	6	sampler	7561000	72303	9691	9691	10	0	72303
copper	1	baseline	1523806	5969	841	841	6	0	5969
copper	1	sampler	1523806	5969	841	841	5	0	5969
copper	2	baseline	1697741	6631	897	897	5	0	6631
copper	2	sampler	1697741	6631	897	897	10	0	6631
copper	3	baseline	1453142	5683	749	749	6	0	5683
copper	3	sampler	1453142	5683	749	749	10	0	5683
copper	4	baseline	2838672	11099	1473	1473	12	5	11094
copper	4	sampler	2838672	11099	1473	1473	11	0	11099
copper	5	baseline	3713839	14505	1956	1956	26	0	14505
copper	5	sampler	3713839	14505	1956	1956	20	0	14505
copper	6	baseline	7561000	36151	5344	5344	63	0	36151
copper	6	sampler	7561000	36151	5344	5344	61	0	36151
diamond	5	baseline	850499	133	133	133	1	0	133
diamond	5	sampler	850499	133	133	133	0	0	133
diamond	6	baseline	1243834	491	355	355	5	0	491
diamond	6	sampler	1243834	491	355	355	3	0	491
emberglass	4	baseline	2838672	1369	736	736	7	0	1369
emberglass	4	sampler	2838672	1369	736	736	13	0	1369
emberglass	5	baseline	3713839	1803	1001	1001	11	0	1803
emberglass	5	sampler	3713839	1803	1001	1001	16	0	1803
emberglass	6	baseline	7561000	4550	2166	2166	31	0	4550
emberglass	6	sampler	7561000	4550	2166	2166	31	0	4550
garnet	5	baseline	784794	256	207	207	1	0	256
garnet	5	sampler	784794	256	207	207	1	0	256
garnet	6	baseline	1353256	550	358	358	8	0	550
garnet	6	sampler	1353256	550	358	358	4	0	550
gold	2	baseline	1697741	1661	450	450	5	0	1661
gold	2	sampler	1697741	1661	450	450	3	0	1661
gold	3	baseline	1453142	1421	375	375	5	0	1421
gold	3	sampler	1453142	1421	375	375	3	0	1421
gold	4	baseline	2838672	2772	746	746	5	0	2772
gold	4	sampler	2838672	2772	746	746	9	0	2772
gold	5	baseline	3713839	3618	1022	1022	18	0	3618
gold	5	sampler	3713839	3618	1022	1022	12	0	3618
gold	6	baseline	7561000	9055	3177	3177	51	0	9055
gold	6	sampler	7561000	9055	3177	3177	54	0	9055
iron	1	baseline	1523806	11901	1566	1566	27	0	11901
iron	1	sampler	1523806	11901	1566	1566	22	0	11901
iron	2	baseline	1697741	13269	1711	1711	20	0	13269
iron	2	sampler	1697741	13269	1711	1711	27	0	13269
iron	3	baseline	1453142	11354	1477	1477	20	0	11354
iron	3	sampler	1453142	11354	1477	1477	20	0	11354
iron	4	baseline	2838672	22173	2896	2896	39	0	22173
iron	4	sampler	2838672	22173	2896	2896	28	0	22173
iron	5	baseline	3713839	29022	3820	3820	53	0	29022
iron	5	sampler	3713839	29022	3820	3820	58	0	29022
iron	6	baseline	7561000	72347	9683	9683	158	0	72347
iron	6	sampler	7561000	72347	9683	9683	159	0	72347
jade	4	baseline	1441390	476	368	368	7	0	476
jade	4	sampler	1441390	476	368	368	12	0	476
jade	6	baseline	1288074	575	351	351	8	0	575
jade	6	sampler	1288074	575	351	351	7	0	575
quartz	1	baseline	1523806	5962	838	838	10	0	5962
quartz	1	sampler	1523806	5962	838	838	15	0	5962
quartz	2	baseline	1697741	6640	896	896	19	0	6640
quartz	2	sampler	1697741	6640	896	896	25	0	6640
quartz	3	baseline	1453142	5675	748	748	12	0	5675
quartz	3	sampler	1453142	5675	748	748	16	0	5675
quartz	4	baseline	2838672	11086	1473	1473	36	0	11086
quartz	4	sampler	2838672	11086	1473	1473	30	0	11086
quartz	5	baseline	3713839	14504	1952	1952	45	0	14504
quartz	5	sampler	3713839	14504	1952	1952	53	0	14504
quartz	6	baseline	7561000	36164	5344	5344	145	3	36161
quartz	6	sampler	7561000	36164	5344	5344	145	3	36161
ruby	4	baseline	1397282	104	104	104	2	0	104
ruby	4	sampler	1397282	104	104	104	2	0	104
ruby	5	baseline	2078546	348	348	348	8	0	348
ruby	5	sampler	2078546	348	348	348	4	0	348
ruby	6	baseline	3675836	1471	1026	1026	26	0	1471
ruby	6	sampler	3675836	1471	1026	1026	32	0	1471
sapphire	4	baseline	1441390	115	115	115	2	0	115
sapphire	4	sampler	1441390	115	115	115	5	0	115
sapphire	5	baseline	784794	134	134	134	4	0	134
sapphire	5	sampler	784794	134	134	134	3	0	134
sapphire	6	baseline	2641330	1147	715	715	39	0	1147
sapphire	6	sampler	2641330	1147	715	715	18	0	1147
silver	3	baseline	1453142	1420	375	375	11	0	1420
silver	3	sampler	1453142	1420	375	375	6	0	1420
silver	4	baseline	2838672	2758	746	746	19	0	2758
silver	4	sampler	2838672	2758	746	746	18	0	2758
silver	5	baseline	3713839	3630	1019	1019	26	0	3630
