kind	name	count	total	min	max	mean
metric	plan_us	10	3146518	106369	445200	314651.800
metric	writer_us	10	3230655	184570	508797	323065.500
metric	total_us	10	6377173	387691	893618	637717.300
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	29	2	6	2.900
metric	vm_get_data_us	10	43532	4233	4411	4353.200
metric	vm_get_param2_data_us	10	43167	4133	4423	4316.700
metric	vm_get_light_data_us	10	77668	0	9317	7766.800
metric	vm_set_data_us	10	73449	7103	7431	7344.900
metric	vm_set_param2_data_us	10	14434	0	7248	1443.400
metric	vm_set_lighting_us	10	1578	0	211	157.800
metric	vm_calc_lighting_us	10	34813	0	6651	3481.300
metric	vm_set_light_data_us	10	64244	0	7227	6424.400
metric	vm_update_liquids_us	10	9363	0	1412	936.300
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
