variant	owner	runs	plan_median_us	writer_median_us	callback_median_us	callback_min_us	callback_max_us
baseline	-1872,-32,-2592	3	343590	181140	523490	520416	572537
baseline	-1792,-32,-2592	3	244969	195855	440824	425394	461137
baseline	-1872,-32,-2512	3	262431	240464	502895	479429	539487
baseline	-32,-32,-1552	3	346129	195157	541286	524587	574474
baseline	-32,48,-272	3	369394	473556	842950	818510	924857
baseline	-752,-32,-32	3	466806	694900	1161706	1093300	1278804
baseline	-432,-32,-1552	3	462435	1651316	2113751	2011848	2352937
baseline	-2752,-32,-32	3	124063	285485	409548	400490	424959
baseline	-3312,208,-112	3	507872	378457	890967	838260	900974
baseline	-1712,-912,128	3	587908	6290005	6810368	6461267	7564698
sampler	-1872,-32,-2592	3	344216	184967	537445	517987	573641
sampler	-1792,-32,-2592	3	241959	197928	434598	431003	489534
sampler	-1872,-32,-2512	3	255035	236956	491991	489872	548383
sampler	-32,-32,-1552	3	333976	189329	557376	523305	560566
sampler	-32,48,-272	3	340380	385422	725802	699113	767667
sampler	-752,-32,-32	3	442387	402451	826820	810272	845265
sampler	-432,-32,-1552	3	396792	473882	872986	838063	876108
sampler	-2752,-32,-32	3	118395	274702	396010	349011	472161
sampler	-3312,208,-112	3	494422	393645	888067	887141	978646
sampler	-1712,-912,128	3	364394	346638	747225	690156	754525
