kind	name	count	total	min	max	mean
metric	plan_us	10	3452347	119413	520363	345234.700
metric	writer_us	10	10470255	181140	6290005	1047025.500
metric	total_us	10	13922602	400490	6810368	1392260.200
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	44	1	22	4.400
metric	vm_get_data_us	10	40900	3935	4168	4090.000
metric	vm_get_param2_data_us	10	40548	3822	4171	4054.800
metric	vm_get_light_data_us	10	74936	0	8696	7493.600
metric	vm_set_data_us	10	72051	6953	7348	7205.100
metric	vm_set_param2_data_us	10	14182	0	7096	1418.200
metric	vm_set_lighting_us	10	1290	0	153	129.000
metric	vm_calc_lighting_us	10	34546	0	6555	3454.600
metric	vm_set_light_data_us	10	63432	0	7332	6343.200
metric	vm_update_liquids_us	10	8402	0	1025	840.200
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
