kind	name	count	total	min	max	mean
metric	plan_us	10	3533296	117969	535747	353329.600
metric	writer_us	10	2820010	176713	441271	282001.000
metric	total_us	10	6353306	349011	887141	635330.600
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	17	1	3	1.700
metric	vm_get_data_us	10	40508	3811	4087	4050.800
metric	vm_get_param2_data_us	10	40504	3805	4114	4050.400
metric	vm_get_light_data_us	10	74897	0	8682	7489.700
metric	vm_set_data_us	10	72469	6953	7486	7246.900
metric	vm_set_param2_data_us	10	14199	0	7102	1419.900
metric	vm_set_lighting_us	10	1325	0	173	132.500
metric	vm_calc_lighting_us	10	34679	0	6558	3467.900
metric	vm_set_light_data_us	10	63775	0	7297	6377.500
metric	vm_update_liquids_us	10	8305	0	1005	830.500
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
