kind	name	count	total	min	max	mean
metric	plan_us	10	3508288	114533	515067	350828.800
metric	writer_us	10	3081359	186811	516706	308135.900
metric	total_us	10	6589647	364769	929686	658964.700
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	24	2	3	2.400
metric	vm_get_data_us	10	43739	4346	4472	4373.900
metric	vm_get_param2_data_us	10	43933	4279	4870	4393.300
metric	vm_get_light_data_us	10	78098	0	8960	7809.800
metric	vm_set_data_us	10	73650	7301	7497	7365.000
metric	vm_set_param2_data_us	10	14557	0	7391	1455.700
metric	vm_set_lighting_us	10	1620	0	244	162.000
metric	vm_calc_lighting_us	10	35140	0	6564	3514.000
metric	vm_set_light_data_us	10	64159	0	7325	6415.900
metric	vm_update_liquids_us	10	8520	0	1043	852.000
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
