decoration_id	logical_biomes	kind	asset_or_node	host_node	fill_numerator	fill_denominator	extra_rule	authority_status
meadows_apple_tree	grug_meadows	template	apple_tree.mts	default:dirt_with_grass	3	2000	center_xz;quarter_turn_rotation	target_numeric
meadows_bush	grug_meadows	template	bush.mts	default:dirt_with_grass	1	250	center_xz;quarter_turn_rotation	legacy_numeric_recommended
meadows_grass_1..5	grug_meadows	simple	default:grass_1..5	default:dirt_with_grass	3	50	one_entry_per_variant	legacy_numeric_recommended
pine_hills_pine_tree	grug_pine_hills	template	pine_tree.mts	default:dirt_with_coniferous_litter	1	250	center_xz;quarter_turn_rotation	target_aggregate_split
pine_hills_small_pine_tree	grug_pine_hills	template	small_pine_tree.mts	default:dirt_with_coniferous_litter	1	500	center_xz;quarter_turn_rotation	target_aggregate_split
pine_hills_pine_bush	grug_pine_hills	template	pine_bush.mts	default:dirt_with_coniferous_litter	3	500	center_xz;quarter_turn_rotation	legacy_numeric_recommended
pine_hills_blueberry_bush	grug_pine_hills	template	blueberry_bush.mts	default:dirt_with_coniferous_litter	1	1000	offset_y_plus_1;center_xz;quarter_turn_rotation	legacy_numeric_recommended
pine_hills_fern_1..3	grug_pine_hills	simple	default:fern_1..3	default:dirt_with_coniferous_litter	1	50	one_entry_per_variant	legacy_numeric_recommended
elf_forest_silverwood	grug_elf_forest	template	aspen_tree.mts	grug_nodes:dirt_with_silver_litter	1	200	silverwood_replacements;center_xz;quarter_turn_rotation	target_aggregate_conflict_resolution_pending_user
elf_forest_apple_tree	grug_elf_forest	template	apple_tree.mts	grug_nodes:dirt_with_silver_litter	1	500	center_xz;quarter_turn_rotation	target_aggregate_conflict_resolution_pending_user
elf_forest_grass_1..3	grug_elf_forest	simple	default:grass_1..3	grug_nodes:dirt_with_silver_litter	1	50	one_entry_per_variant	legacy_numeric_recommended
deep_forest_apple_tree	grug_deep_forest	template	apple_tree.mts	grug_nodes:dirt_with_forest_litter	3	250	center_xz;quarter_turn_rotation	target_aggregate_split
deep_forest_aspen_tree	grug_deep_forest	template	aspen_tree.mts	grug_nodes:dirt_with_forest_litter	1	125	center_xz;quarter_turn_rotation	target_aggregate_split
deep_forest_apple_log	grug_deep_forest	template	apple_log.mts	grug_nodes:dirt_with_forest_litter	1	1000	offset_y_plus_1;center_x_only;replace_mushroom_with_air;quarter_turn_rotation	legacy_numeric_recommended
deep_forest_fern_1..3	grug_deep_forest	simple	default:fern_1..3	grug_nodes:dirt_with_forest_litter	1	50	one_entry_per_variant	legacy_numeric_recommended
crags_snowy_pine	grug_crags	template	snowy_pine_tree_from_sapling.mts	default:gravel	1	500	surface_y_at_least_60;center_xz;quarter_turn_rotation	legacy_numeric_recommended
savanna_acacia_tree	grug_savanna	template	acacia_tree.mts	default:dry_dirt_with_dry_grass	1	500	center_xz;quarter_turn_rotation	target_numeric
savanna_acacia_bush	grug_savanna	template	acacia_bush.mts	default:dry_dirt_with_dry_grass	1	250	center_xz;quarter_turn_rotation	legacy_numeric_recommended
savanna_dry_shrub	grug_savanna	simple	default:dry_shrub	default:dry_dirt_with_dry_grass	1	250	param2_4	target_asset_new_fill_pending_user
savanna_dry_grass_1..5	grug_savanna	simple	default:dry_grass_1..5	default:dry_dirt_with_dry_grass	3	50	one_entry_per_variant	legacy_numeric_recommended
badlands_large_cactus	grug_badlands;grug_badlands_east	template	large_cactus.mts	grug_nodes:mesa_clay	1	1000	center_xz;quarter_turn_rotation	legacy_numeric_recommended
badlands_dry_shrub	grug_badlands;grug_badlands_east	simple	default:dry_shrub	grug_nodes:mesa_clay	1	125	param2_4	legacy_numeric_recommended
blight_gravewood	grug_blight	simple	grug_trees:gravewood_tree	grug_nodes:blight_dirt	3	2000	height_2_to_4_from_domain_hash	legacy_numeric_recommended
blight_dry_shrub	grug_blight	simple	default:dry_shrub	grug_nodes:blight_dirt	3	200	param2_4	legacy_numeric_recommended
blight_bone_pile	grug_blight	simple	grug_nodes:bone_pile	grug_nodes:blight_dirt	1	500	none	legacy_numeric_recommended
bone_forest_gravewood	grug_bone_forest	simple	grug_trees:gravewood_tree	grug_nodes:dirt_with_bone_litter	3	200	height_2_to_4_from_domain_hash	target_numeric
bone_forest_bone_pile	grug_bone_forest	simple	grug_nodes:bone_pile	grug_nodes:dirt_with_bone_litter	1	250	none	legacy_numeric_recommended
jungle_edge_jungle_tree	grug_jungle_edge	template	jungle_tree.mts	default:dirt_with_rainforest_litter	1	125	center_xz;quarter_turn_rotation	target_numeric
jungle_edge_junglegrass	grug_jungle_edge	simple	default:junglegrass	default:dirt_with_rainforest_litter	1	25	none	legacy_numeric_recommended
jungle_tree	grug_deep_jungle;grug_jungle_fringe	template	jungle_tree.mts	grug_nodes:dirt_with_canopy_litter	1	50	center_xz;quarter_turn_rotation	target_aggregate_split
emergent_jungle_tree	grug_deep_jungle;grug_jungle_fringe	template	emergent_jungle_tree.mts	grug_nodes:dirt_with_canopy_litter	1	200	surface_y_at_most_32;offset_y_minus_4;center_xz;quarter_turn_rotation	target_aggregate_split
jungle_junglegrass	grug_deep_jungle;grug_jungle_fringe	simple	default:junglegrass	grug_nodes:dirt_with_canopy_litter	1	20	none	legacy_numeric_recommended
swamp_papyrus	grug_swamp	template	papyrus_on_dirt.mts	grug_nodes:mud	1	50	surface_y_1_to_4;replace_dirt_with_mud;center_xz;quarter_turn_rotation	legacy_numeric_recommended
swamp_dry_shrub	grug_swamp	simple	default:dry_shrub	grug_nodes:mud	1	250	param2_4	legacy_numeric_recommended
