logical_biome_id	material_family	shore_node	bed_node	vertical_span_authority	dust_rule
grug_meadows	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
grug_pine_hills	gravel	default:gravel	default:gravel	accepted_R3_profile_and_R5_operation_span	none
grug_crags	gravel	default:gravel	default:gravel	accepted_R3_profile_and_R5_operation_span	none
grug_crags_snowy	gravel	default:gravel	default:gravel	accepted_R3_profile_and_R5_operation_span	default:snow_on_exposed_dry_top_only
grug_elf_forest	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
grug_deep_forest	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
grug_swamp	mud	grug_nodes:mud	grug_nodes:mud	accepted_R3_profile_and_R5_operation_span	none
grug_savanna	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
grug_badlands	gravel	default:gravel	default:gravel	accepted_R3_profile_and_R5_operation_span	none
grug_badlands_east	gravel	default:gravel	default:gravel	accepted_R3_profile_and_R5_operation_span	none
grug_blight	gravel	default:gravel	default:gravel	accepted_R3_profile_and_R5_operation_span	none
grug_bone_forest	gravel	default:gravel	default:gravel	accepted_R3_profile_and_R5_operation_span	none
grug_jungle_edge	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
grug_deep_jungle	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
grug_jungle_fringe	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
grug_beach	sand	default:sand	default:sand	accepted_R3_profile_and_R5_operation_span	none
