kind	name	count	total	min	max	mean
metric	plan_us	10	3730098	124632	595288	373009.800
metric	writer_us	10	10716812	182274	6422959	1071681.200
metric	total_us	10	14446910	389042	7018247	1444691.000
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	37	1	20	3.700
metric	vm_get_data_us	10	41176	3832	4497	4117.600
metric	vm_get_param2_data_us	10	41510	3813	4600	4151.000
metric	vm_get_light_data_us	10	72792	0	8839	7279.200
metric	vm_set_data_us	10	73977	7280	7839	7397.700
metric	vm_set_param2_data_us	10	14022	0	7101	1402.200
metric	vm_set_lighting_us	10	1609	0	228	160.900
metric	vm_calc_lighting_us	10	35736	0	6741	3573.600
metric	vm_set_light_data_us	10	64270	0	7341	6427.000
metric	vm_update_liquids_us	10	8674	0	1030	867.400
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
