kind	name	count	total	min	max	mean
metric	plan_us	10	4024987	134885	730994	402498.700
metric	writer_us	10	12102811	193298	7327007	1210281.100
metric	total_us	10	16127798	438531	8058001	1612779.800
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	76	2	31	7.600
metric	vm_get_data_us	10	44228	4048	5886	4422.800
metric	vm_get_param2_data_us	10	44041	3977	5812	4404.100
metric	vm_get_light_data_us	10	76855	0	9307	7685.500
metric	vm_set_data_us	10	78167	7305	9367	7816.700
metric	vm_set_param2_data_us	10	14488	0	7337	1448.800
metric	vm_set_lighting_us	10	2213	0	302	221.300
metric	vm_calc_lighting_us	10	36785	0	7124	3678.500
metric	vm_set_light_data_us	10	66417	0	7731	6641.700
metric	vm_update_liquids_us	10	10399	0	1361	1039.900
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
