variant	owner	runs	plan_median_us	writer_median_us	callback_median_us	callback_min_us	callback_max_us
baseline	-1872,-32,-2592	3	343590	181140	523490	520416	572537
baseline	-1792,-32,-2592	3	244969	195855	440824	425394	461137
baseline	-1872,-32,-2512	3	262431	240464	502895	479429	539487
baseline	-32,-32,-1552	3	346129	195157	541286	524587	574474
baseline	-32,48,-272	3	369394	473556	842950	818510	924857
baseline	-752,-32,-32	3	466806	694900	1161706	1093300	1278804
baseline	-432,-32,-1552	3	462435	1651316	2113751	2011848	2352937
baseline	-2752,-32,-32	3	124063	285485	409548	400490	424959
baseline	-3312,208,-112	3	507872	378457	890967	838260	900974
baseline	-1712,-912,128	3	587908	6290005	6810368	6461267	7564698
final	-1872,-32,-2592	3	336404	181477	517881	508468	533082
final	-1792,-32,-2592	3	231935	197989	430262	421085	434889
final	-1872,-32,-2512	3	245625	244194	503237	489819	505372
final	-32,-32,-1552	3	335819	203319	548522	532659	573934
final	-32,48,-272	3	355153	415623	770776	735550	880271
final	-752,-32,-32	3	433924	580904	1043109	1014828	1044149
final	-432,-32,-1552	3	452453	1517604	1970057	1938633	2034604
final	-2752,-32,-32	3	115501	259707	373665	373197	375208
final	-3312,208,-112	3	487415	431773	919188	914667	924148
final	-1712,-912,128	3	421746	6890333	7278635	6839874	7431096
