kind	name	count	total	min	max	mean
metric	plan_us	10	3746259	119254	580646	374625.900
metric	writer_us	10	10954168	177452	6566481	1095416.800
metric	total_us	10	14700427	367757	7147127	1470042.700
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	68	1	36	6.800
metric	vm_get_data_us	10	44814	4357	4947	4481.400
metric	vm_get_param2_data_us	10	43450	4145	4527	4345.000
metric	vm_get_light_data_us	10	78304	0	9057	7830.400
metric	vm_set_data_us	10	73844	7082	7640	7384.400
metric	vm_set_param2_data_us	10	14166	0	7261	1416.600
metric	vm_set_lighting_us	10	1538	0	244	153.800
metric	vm_calc_lighting_us	10	34877	0	6554	3487.700
metric	vm_set_light_data_us	10	64835	0	7386	6483.500
metric	vm_update_liquids_us	10	8900	0	1115	890.000
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
