kind	name	count	total	min	max	mean
metric	plan_us	10	3459370	122834	508666	345937.000
metric	writer_us	10	10044875	185711	5903715	1004487.500
metric	total_us	10	13504245	394379	6325995	1350424.500
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	20	1	3	2.000
metric	vm_get_data_us	10	40967	4041	4249	4096.700
metric	vm_get_param2_data_us	10	40758	4056	4099	4075.800
metric	vm_get_light_data_us	10	73327	0	8673	7332.700
metric	vm_set_data_us	10	72562	7076	7504	7256.200
metric	vm_set_param2_data_us	10	14229	0	7144	1422.900
metric	vm_set_lighting_us	10	1385	0	241	138.500
metric	vm_calc_lighting_us	10	34785	0	6646	3478.500
metric	vm_set_light_data_us	10	63891	0	7355	6389.100
metric	vm_update_liquids_us	10	8674	0	1101	867.400
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
