kind	name	count	total	min	max	mean
metric	plan_us	10	3697936	132680	523149	369793.600
metric	writer_us	10	9972343	169874	5993552	997234.300
metric	total_us	10	13670279	367238	6500433	1367027.900
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3996	0	1431	399.600
metric	r5_runs	10	199785	0	25600	19978.500
metric	vm_get_emerged_area_us	10	19	1	3	1.900
metric	vm_get_data_us	10	41094	3971	4294	4109.400
metric	vm_get_param2_data_us	10	40749	3854	4228	4074.900
metric	vm_get_light_data_us	10	73354	0	8403	7335.400
metric	vm_set_data_us	10	71799	6940	7281	7179.900
metric	vm_set_param2_data_us	10	14205	0	7120	1420.500
metric	vm_set_lighting_us	10	1432	0	195	143.200
metric	vm_calc_lighting_us	10	34896	0	6531	3489.600
metric	vm_set_light_data_us	10	63967	0	7436	6396.700
metric	vm_update_liquids_us	10	8413	0	1015	841.300
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	2	-	-	-	-
callbacks	all	10	-	-	-	-
