capital	kind	x	y	z	expected	actual	param2
dur_brannoc	ring	-48	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	48	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-48	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-47	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-47	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	48	0	-47	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-47	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-47	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-47	1	48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-48	0	-47	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-47	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-46	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-46	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	48	0	-46	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-46	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-46	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-46	1	48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-48	0	-46	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-46	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
dur_brannoc	ring	-45	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-45	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-45	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-45	3	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-45	4	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	0	-45	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	3	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	4	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-45	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-45	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-45	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-45	3	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-45	4	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	0	-45	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	3	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	4	-45	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-44	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-44	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-44	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-44	3	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-44	4	-48	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	48	0	-44	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-44	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-44	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	3	-44	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	4	-44	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	-44	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-44	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-44	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-44	3	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-44	4	48	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	-48	0	-44	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-44	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-44	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	3	-44	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	4	-44	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	-43	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-43	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-43	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	0	-43	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-43	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-43	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-43	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-43	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-43	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	0	-43	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-43	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-43	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-42	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-42	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-42	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	0	-42	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-42	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-42	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-42	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-42	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-42	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	0	-42	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-42	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-42	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-41	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-41	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-41	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	0	-41	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-41	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-41	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-41	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-41	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-41	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	0	-41	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-41	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-41	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-40	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-40	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-40	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-40	3	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-40	4	-48	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	48	0	-40	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-40	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-40	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	3	-40	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	4	-40	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	-40	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-40	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-40	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-40	3	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-40	4	48	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	-48	0	-40	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-40	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-40	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	3	-40	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	4	-40	stairs:slab_stone_block	stairs:slab_stone_block	0
dur_brannoc	ring	-39	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-39	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-39	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	0	-39	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-39	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-39	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-39	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-39	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-39	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	0	-39	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-39	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-39	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-38	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-38	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-38	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	0	-38	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-38	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-38	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-38	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-38	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-38	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	0	-38	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-48	1	-38	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	2	-38	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-37	0	-48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-37	1	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-37	2	-48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	0	-37	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	48	1	-37	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	48	2	-37	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-37	0	48	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
dur_brannoc	ring	-37	1	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-37	2	48	grug_decor:castle_stonewall	grug_decor:castle_stonewall	0
dur_brannoc	ring	-48	0	-37	default:dirt_with_coniferous_litter	default:dirt_with_coniferous_litter	0
