capital	plot	service	socket	role	tag	node	entity	x	y	z
dur_brannoc	deep_carvers	woodcarver	deep_carvers/deep_carvers_station	public_station	carving_bench	grug_jobs:carving_bench	-	-1688	102	-1663
dur_brannoc	deep_carvers	woodcarver	deep_carvers/deep_carvers_woodcarver	trainer	woodcarver	air	grug_mobs:villager_dwarf	-1690	102	-1665
dur_brannoc	forge_guild_house	tailor	forge_guild_house/forge_guild_house_station	public_station	tailor_bench	grug_jobs:tailor_bench	-	-1964	101	-1619
dur_brannoc	forge_guild_house	tailor	forge_guild_house/forge_guild_house_tailor	trainer	tailor	air	grug_mobs:villager_dwarf	-1966	101	-1621
dur_brannoc	forge_ore_yard	goldsmith	forge_ore_yard/forge_ore_yard_goldsmith	trainer	goldsmith	air	grug_mobs:villager_dwarf	-2006	94	-1665
dur_brannoc	forge_ore_yard	goldsmith	forge_ore_yard/forge_ore_yard_jewel	gear_display	jewel	air	grug_mobs:capital_display	-2001	95	-1662
dur_brannoc	forge_ore_yard	goldsmith	forge_ore_yard/forge_ore_yard_station	public_station	jewellers_bench	grug_jobs:jewellers_bench	-	-2004	94	-1663
dur_brannoc	forge_pack_stable	riding	forge_pack_stable/forge_pack_stable_mount_1	mount_display	1	air	grug_mobs:capital_display	-1921	97	-1667
dur_brannoc	forge_pack_stable	riding	forge_pack_stable/forge_pack_stable_mount_2	mount_display	2	air	grug_mobs:capital_display	-1911	97	-1667
dur_brannoc	forge_pack_stable	riding	forge_pack_stable/forge_pack_stable_mount_3	mount_display	3	air	grug_mobs:capital_display	-1921	97	-1661
dur_brannoc	forge_pack_stable	riding	forge_pack_stable/forge_pack_stable_mount_4	mount_display	4	air	grug_mobs:capital_display	-1911	97	-1661
dur_brannoc	forge_pack_stable	riding	forge_pack_stable/forge_pack_stable_riding	riding_trainer		air	grug_mobs:villager_dwarf	-1916	97	-1670
dur_brannoc	forge_smithy	forge	forge_smithy/forge_smithy_armor	gear_display	armor	air	grug_mobs:capital_display	-1913	100	-1705
dur_brannoc	forge_smithy	forge	forge_smithy/forge_smithy_armorsmith	trainer	armorsmith	air	grug_mobs:villager_dwarf	-1914	99	-1709
dur_brannoc	forge_smithy	forge	forge_smithy/forge_smithy_station	public_station	forge	grug_jobs:forge	-	-1916	99	-1707
dur_brannoc	forge_smithy	forge	forge_smithy/forge_smithy_weapon	gear_display	weapon	air	grug_mobs:capital_display	-1919	100	-1705
dur_brannoc	forge_smithy	forge	forge_smithy/forge_smithy_weaponsmith	trainer	weaponsmith	air	grug_mobs:villager_dwarf	-1918	99	-1709
dur_brannoc	forge_store	leatherworker	forge_store/forge_store_leatherworker	trainer	leatherworker	air	grug_mobs:villager_dwarf	-2006	101	-1713
dur_brannoc	forge_store	leatherworker	forge_store/forge_store_station	public_station	tanning_rack	grug_jobs:tanning_rack	-	-2004	101	-1711
dur_brannoc	terrace_bakehouse	cooking	terrace_bakehouse/terrace_bakehouse_cooking	trainer	cooking	air	grug_mobs:villager_dwarf	-1646	90	-1389
dur_brannoc	terrace_bakehouse	cooking	terrace_bakehouse/terrace_bakehouse_station	public_station	furnace	default:furnace	-	-1644	90	-1387
dur_brannoc	terrace_brewhouse	alchemist	terrace_brewhouse/terrace_brewhouse_alchemist	trainer	alchemist	air	grug_mobs:villager_dwarf	-1682	90	-1345
dur_brannoc	terrace_brewhouse	alchemist	terrace_brewhouse/terrace_brewhouse_station	public_station	brewing_stand	grug_brewing:brewing_stand	-	-1680	90	-1343
