capital	kind	x	y	z	expected	actual	param2
gor_drazhak	ring	-48	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	2	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	3	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	4	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	2	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	3	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	4	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	2	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	3	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	4	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-47	1	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	2	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	3	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	4	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	0	-47	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	2	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	3	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	4	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-47	1	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	2	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	3	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-47	4	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	0	-47	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	2	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	3	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	4	-47	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-46	1	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	2	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	3	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	4	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	0	-46	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	2	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	3	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	4	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-46	1	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	2	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	3	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-46	4	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	0	-46	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	2	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	3	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	4	-46	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-45	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-45	1	-48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-45	2	-48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-45	3	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-45	4	-48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	0	-45	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-45	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	48	2	-45	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	48	3	-45	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	48	4	-45	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-45	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-45	1	48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-45	2	48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-45	3	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-45	4	48	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	0	-45	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-45	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-48	2	-45	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-48	3	-45	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-48	4	-45	grug_decor:darkage_ors_block	grug_decor:darkage_ors_block	0
gor_drazhak	ring	-44	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-44	1	-48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-44	2	-48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-44	3	-48	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-44	4	-48	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	48	0	-44	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-44	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	48	2	-44	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	48	3	-44	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	48	4	-44	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	-44	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-44	1	48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-44	2	48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-44	3	48	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-44	4	48	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	-48	0	-44	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-44	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-48	2	-44	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-48	3	-44	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-48	4	-44	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	-43	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-43	1	-48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-43	2	-48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	48	0	-43	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-43	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	48	2	-43	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-43	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-43	1	48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-43	2	48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-48	0	-43	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-43	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-48	2	-43	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-42	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-42	1	-48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-42	2	-48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-42	3	-48	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-42	4	-48	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	2
gor_drazhak	ring	48	0	-42	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-42	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	48	2	-42	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	48	3	-42	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	48	4	-42	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	2
gor_drazhak	ring	-42	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-42	1	48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-42	2	48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-42	3	48	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-42	4	48	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	2
gor_drazhak	ring	-48	0	-42	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-42	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-48	2	-42	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-48	3	-42	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-48	4	-42	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	2
gor_drazhak	ring	-41	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-41	1	-48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-41	2	-48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	48	0	-41	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-41	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	48	2	-41	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-41	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-41	1	48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-41	2	48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-48	0	-41	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-41	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-48	2	-41	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-40	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-40	1	-48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-40	2	-48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-40	3	-48	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-40	4	-48	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	48	0	-40	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-40	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	48	2	-40	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	48	3	-40	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	48	4	-40	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	-40	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-40	1	48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-40	2	48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-40	3	48	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-40	4	48	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	-48	0	-40	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-48	1	-40	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-48	2	-40	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-48	3	-40	default:acacia_tree	default:acacia_tree	0
gor_drazhak	ring	-48	4	-40	stairs:stair_outer_acacia_wood	stairs:stair_outer_acacia_wood	0
gor_drazhak	ring	-39	0	-48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-39	1	-48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-39	2	-48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	48	0	-39	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	48	1	-39	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	48	2	-39	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-39	0	48	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
gor_drazhak	ring	-39	1	48	default:dry_dirt	default:dry_dirt	0
gor_drazhak	ring	-39	2	48	default:desert_sand	default:desert_sand	0
gor_drazhak	ring	-48	0	-39	default:dirt_with_dry_grass	default:dirt_with_dry_grass	0
