plot	reference_x	reference_z	reference_y	perimeter_min	perimeter_max	perimeter_fall	perimeter_rise	footprint_min	footprint_max	footprint_fall	footprint_rise	submerged	submerged_margin	reference_wet	clear_to	columns
shore_market	1924	1388	39	39	39	0	0	39	39	0	0	0	0	false	8	361
shore_butcher	1956	1388	39	37	42	2	3	37	42	2	3	0	0	false	11	418
shore_tailor	1932	1420	39	36	42	3	3	36	40	3	1	0	0	false	11	289
shore_store	1892	1384	33	33	37	0	4	33	36	0	3	0	0	false	13	357
shore_smokehouse	1928	1344	39	36	39	3	0	36	39	3	0	0	0	false	9	285
shore_carvers	1988	1388	42	39	42	3	0	39	42	3	0	0	0	false	10	361
shore_well	1928	1452	42	39	43	3	1	39	42	3	0	0	0	false	8	361
shore_watch	1960	1352	39	36	42	3	3	36	41	3	2	0	0	false	12	567
shore_house	1964	1420	39	37	45	2	6	37	43	2	4	0	0	false	12	357
shore_vineyard	1896	1352	36	36	39	0	3	36	39	0	3	0	0	false	8	529
shore_gardens	1860	1384	36	36	37	0	1	36	36	0	0	0	0	false	8	529
shore_logyard	1928	1316	39	36	39	3	0	36	39	3	0	0	0	false	8	289
shore_green	1908	1412	39	38	40	1	1	38	39	1	0	0	0	false	8	121
vine_house_a	1664	1388	36	36	39	0	3	36	39	0	3	0	0	false	11	289
vine_house_b	1696	1384	39	39	39	0	0	39	39	0	0	0	0	false	10	289
vine_house_c	1672	1420	36	33	39	3	3	33	39	3	3	0	0	false	13	289
vine_house_d	1632	1392	40	38	42	2	2	38	42	2	2	0	0	false	11	289
vine_longhouse	1672	1344	45	42	45	3	0	42	45	3	0	0	0	false	12	357
vine_herbalist	1640	1356	42	42	42	0	0	42	42	0	0	0	0	false	10	289
vine_moot	1672	1452	33	33	38	0	5	33	37	0	4	0	0	false	9	231
vine_well	1704	1352	42	39	45	3	3	39	45	3	3	0	0	false	8	361
vine_store	1600	1388	39	39	39	0	0	39	39	0	0	0	0	false	13	357
vine_common	1728	1384	39	36	39	3	0	36	39	3	0	0	0	false	8	529
vine_terraces	1640	1424	39	36	42	3	3	36	42	3	3	0	0	false	8	529
vine_park	1672	1316	37	36	42	1	5	36	41	1	4	0	0	false	8	289
vine_kitchen	1716	1416	39	39	42	0	3	39	42	0	3	0	0	false	8	121
canopy_barracks_a	1664	1612	39	38	42	1	3	38	42	1	3	0	0	false	12	567
canopy_barracks_b	1632	1612	42	39	45	3	3	39	45	3	3	0	0	false	12	567
canopy_armoury	1664	1580	36	36	39	0	3	36	39	0	3	0	0	false	11	418
canopy_watchpost	1664	1644	45	42	45	3	0	42	45	3	0	0	0	false	14	225
canopy_stable	1696	1616	36	35	42	1	6	35	41	1	5	0	0	false	11	621
canopy_store	1600	1612	45	45	45	0	0	45	45	0	0	0	0	false	13	357
canopy_hall	1632	1580	39	39	43	0	4	39	42	0	3	0	0	false	12	357
canopy_house_a	1632	1644	40	37	42	3	2	37	42	3	2	0	0	false	11	289
canopy_house_b	1664	1548	39	39	42	0	3	39	42	0	3	0	0	false	10	289
canopy_carvers	1664	1676	42	38	42	4	0	38	42	4	0	0	0	false	10	361
canopy_well	1696	1648	39	38	42	1	3	38	42	1	3	0	0	false	8	361
canopy_muster	1728	1616	36	33	36	3	0	33	36	3	0	0	0	false	8	529
canopy_pasture	1600	1580	45	43	45	2	0	43	45	2	0	0	0	false	8	529
canopy_woodyard	1604	1640	42	41	49	1	7	41	46	1	4	0	0	false	8	289
canopy_green	1688	1592	36	36	36	0	0	36	36	0	0	0	0	false	8	121
totem_scriptorium	1832	1684	39	36	42	3	3	36	42	3	3	0	0	false	13	437
totem_carvers	1868	1684	37	36	45	1	8	36	43	1	6	0	0	false	10	361
totem_shrine	1768	1684	40	36	46	4	6	36	45	4	5	0	0	false	22	475
totem_hall	1900	1680	45	40	48	5	3	40	48	5	3	0	0	false	12	357
totem_house_a	1736	1684	34	33	37	1	3	33	36	1	2	0	0	false	11	289
totem_store	1754	1652	40	36	45	4	5	36	44	4	4	0	0	false	13	357
totem_well	1700	1684	42	37	45	5	3	37	45	5	3	0	0	false	8	361
totem_graves	1832	1714	39	37	45	2	6	37	43	2	4	0	0	false	8	529
totem_posts	1860	1658	36	36	38	0	2	36	37	0	1	0	0	false	8	121
totem_grove	1856	1710	39	37	43	2	4	37	42	2	3	0	0	false	8	289
totem_green	1832	1660	42	39	43	3	1	39	42	3	0	0	0	false	8	121
