ACTION[Main]: GRUG_WP13_CAPITAL event=districts lore_spiritual=northeast market_professions=northwest martial_garrison=southwest residential_cultural=southeast permutation=2,3,1
ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=531802985935182545 manifest=da00097a1ebe183092a22027f989209dc205a21ebcdef1159fff6d2964ae74f1 sockets_registered=1881 anchor=1800,41,-1500 mode=full build_us=module_load=19466,core=181771,plot_market_granary=8778,plot_market_stable=9863,plot_market_bowyer=9211,plot_market_weaver=9387,plot_market_fountain=3245,plot_market_watch=6874,plot_market_grove=7815,plot_market_orchard=6182,plot_market_bakehouse=6295,plot_market_gardens=3736,plot_market_close=3675,plot_market_paddock=1935,plot_market_green=943,plot_martial_barracks=7442,plot_martial_armoury=7096,plot_martial_tower=3805,plot_martial_hall=7360,plot_martial_stable=5405,plot_martial_store=5502,plot_martial_grove=7881,plot_martial_lodge=3745,plot_martial_bough=3366,plot_martial_lawn=3879,plot_martial_butts=3455,plot_martial_woodyard=1820,plot_martial_mess=799,plot_mere_shrine=2123,plot_mere_lore_hall=8162,plot_mere_mourning=7508,plot_mere_stages=2397,plot_mere_walk=833,plot_homes_terrace_west=3382,plot_homes_terrace_east=3001,plot_homes_longhouse=5966,plot_homes_brewhouse=6408,plot_homes_carver=7026,plot_homes_feast_hall=7283,plot_homes_bough=2963,plot_homes_court=2788,plot_homes_grove=7801,plot_homes_gardens=3938,plot_homes_singing_grove=3753,plot_homes_yard=1913,plot_homes_green=806
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=19466
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=181771
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=8778
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=9863
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=9211
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=9387
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=3245
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=6874
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=7815
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=6182
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=6295
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=3736
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=3675
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=1935
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=943
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=7442
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=7096
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=3805
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=7360
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=5405
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=5502
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=7881
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3745
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3366
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3879
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3455
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1820
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=799
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2123
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=8162
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=7508
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2397
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=833
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3382
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=3001
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=5966
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=6408
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=7026
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=7283
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=2963
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=2788
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=7801
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3938
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3753
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=1913
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=806
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=276
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_gear_display=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_mount_display=4
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_public_station=7
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_riding_trainer=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_trainer=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=112
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=32536947
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=15208990
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=15867148
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=566474
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=294289
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=647377
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=449668
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=263560
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=269874
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:-32:-1472 kind=capital elapsed_us=666558
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:48:-1472 kind=capital elapsed_us=248408
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1568:-32:-1472 kind=capital elapsed_us=680031
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1648:-32:-1392 kind=capital elapsed_us=685866
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1728:-32:-1392 kind=capital elapsed_us=537455
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:-32:-1392 kind=capital elapsed_us=589339
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:48:-1392 kind=capital elapsed_us=273468
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=254811
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=252619
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1648:-32:-1312 kind=capital elapsed_us=654412
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1568:48:-1312 kind=capital elapsed_us=467208
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1632 kind=capital elapsed_us=879661
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:-32:-1632 kind=capital elapsed_us=645329
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:48:-1632 kind=capital elapsed_us=289364
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:48:-1632 kind=capital elapsed_us=293438
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:-32:-1712 kind=capital elapsed_us=903313
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:-32:-1712 kind=capital elapsed_us=598447
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:48:-1712 kind=capital elapsed_us=295671
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:48:-1712 kind=capital elapsed_us=298988
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:-32:-1632 kind=capital elapsed_us=1006303
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:48:-1632 kind=capital elapsed_us=281444
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:-32:-1712 kind=capital elapsed_us=541928
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:48:-1712 kind=capital elapsed_us=292535
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_lawn mapchunk=1648:-32:-1792 kind=capital elapsed_us=610394
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1792 kind=capital elapsed_us=484804
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=806335
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=727311
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=434930
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:-32:-1632 kind=capital elapsed_us=871962
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:48:-1632 kind=capital elapsed_us=291452
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:-32:-1632 kind=capital elapsed_us=783512
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:48:-1632 kind=capital elapsed_us=302065
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:-32:-1632 kind=capital elapsed_us=709196
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:48:-1632 kind=capital elapsed_us=291880
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:-32:-1712 kind=capital elapsed_us=657028
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:48:-1712 kind=capital elapsed_us=259650
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:-32:-1712 kind=capital elapsed_us=664065
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1968:-32:-1712 kind=capital elapsed_us=618995
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:48:-1712 kind=capital elapsed_us=273129
