capital	kind	x	y	z	expected	actual	param2
nhal_veyr	ring	-48	0	-48	grug_nodes:dirt_with_bone_litter	grug_nodes:dirt_with_bone_litter	0
nhal_veyr	ring	-48	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	48	0	-48	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	48	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-48	0	48	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-48	1	48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-47	0	-48	grug_nodes:dirt_with_bone_litter	grug_nodes:dirt_with_bone_litter	0
nhal_veyr	ring	-47	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	48	0	-47	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	48	1	-47	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-47	0	48	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-47	1	48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-48	0	-47	grug_nodes:dirt_with_bone_litter	grug_nodes:dirt_with_bone_litter	0
nhal_veyr	ring	-48	1	-47	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-46	0	-48	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-46	1	-48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	48	0	-46	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	48	1	-46	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-46	0	48	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-46	1	48	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-48	0	-46	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-48	1	-46	grug_decor:castle_pavement_brick	grug_decor:castle_pavement_brick	0
nhal_veyr	ring	-45	0	-48	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-45	1	-48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-45	2	-48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-45	3	-48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-45	4	-48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	48	0	-45	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	48	1	-45	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	48	2	-45	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	48	3	-45	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	48	4	-45	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-45	0	48	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-45	1	48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-45	2	48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-45	3	48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-45	4	48	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
nhal_veyr	ring	-48	0	-45	grug_nodes:blight_dirt	grug_nodes:blight_dirt	0
nhal_veyr	ring	-48	1	-45	grug_decor:castle_dungeon_stone	grug_decor:castle_dungeon_stone	0
