kind	name	count	total	min	max	mean
metric	plan_us	92	24833572	71108	724877	269930.130
metric	writer_us	92	15455493	40192	373532	167994.489
metric	total_us	92	40289065	112638	972098	437924.620
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	104416	0	3586	1134.957
metric	r5_runs	92	1387423	6400	25661	15080.685
metric	vm_get_emerged_area_us	92	205	1	15	2.228
metric	vm_get_data_us	92	370044	3792	4872	4022.217
metric	vm_get_param2_data_us	92	368438	3785	4391	4004.761
metric	vm_get_light_data_us	92	465454	0	9334	5059.283
metric	vm_set_data_us	92	413503	0	7883	4494.598
metric	vm_set_param2_data_us	92	299878	0	7450	3259.543
metric	vm_set_lighting_us	92	6352	0	376	69.043
metric	vm_calc_lighting_us	92	330275	0	12821	3589.946
metric	vm_set_light_data_us	92	396412	0	7557	4308.826
metric	vm_update_liquids_us	92	54537	0	1243	592.793
writer_result	applied_clq	13	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cl	1	-	-	-	-
writer_result	noop_equal_content	35	-	-	-	-
writer_result	applied_cplq	42	-	-	-	-
callbacks	all	92	-	-	-	-
