plot	reference_x	reference_z	reference_y	perimeter_min	perimeter_max	perimeter_fall	perimeter_rise	footprint_min	footprint_max	footprint_fall	footprint_rise	submerged	submerged_margin	reference_wet	clear_to	columns
market_granary	72	-1572	42	40	46	2	4	40	45	2	3	0	0	false	13	357
market_stable	116	-1572	42	40	44	2	2	40	44	2	2	0	0	false	11	621
market_workshop	160	-1572	38	36	41	2	3	36	40	2	2	0	0	false	11	418
market_counting_house	72	-1616	45	41	50	4	5	41	50	4	5	0	0	false	13	437
market_well	112	-1616	42	40	44	2	2	40	44	2	2	0	0	false	8	529
market_watch	160	-1616	38	36	42	2	4	36	41	2	3	0	0	false	12	567
market_grove	72	-1660	42	40	45	2	3	40	44	2	2	0	0	false	12	441
market_orchard	116	-1660	44	42	44	2	0	42	44	2	0	0	0	false	11	425
market_store	160	-1660	37	36	40	1	3	36	40	1	3	0	0	false	12	357
market_pond	208	-1628	38	34	40	4	2	34	40	4	2	0	0	false	8	529
market_orchard_close	104	-1732	51	48	54	3	3	48	54	3	3	0	0	false	8	529
market_gardens	200	-1724	44	42	46	2	2	42	45	2	1	0	0	false	8	289
market_green	94	-1684	44	44	44	0	0	44	44	0	0	0	0	false	8	121
martial_barracks	-132	-1416	32	32	36	0	4	32	34	0	2	0	0	false	13	621
martial_muster_hall	-176	-1424	36	34	38	2	2	34	38	2	2	0	0	false	11	483
martial_armoury	-220	-1420	38	36	42	2	4	36	42	2	4	0	0	false	11	462
martial_stables	-132	-1376	40	38	40	2	0	38	40	2	0	0	0	false	11	399
martial_drill_yard	-176	-1376	38	34	42	4	4	34	42	4	4	0	0	false	14	441
martial_quartermaster	-220	-1376	40	37	41	3	1	37	40	3	0	0	0	false	12	399
martial_wain_shed	-132	-1332	34	34	39	0	5	32	38	2	4	0	0	false	9	437
martial_guard_house	-180	-1336	44	42	44	2	0	42	44	2	0	0	0	false	9	221
martial_watch_tower	-220	-1332	40	38	42	2	2	38	42	2	2	0	0	false	14	225
martial_muster_field	-180	-1456	31	26	36	5	5	26	36	5	5	0	0	false	8	529
martial_remount_pasture	-76	-1320	36	32	39	4	3	32	38	4	2	0	0	false	8	529
martial_wood_yard	-172	-1304	36	34	40	2	4	34	38	2	2	0	0	false	8	289
martial_green	-84	-1368	37	36	38	1	1	36	38	1	1	0	0	false	8	121
lore_shrine	132	-1388	40	38	42	2	2	38	42	2	2	0	0	false	21	437
lore_library	132	-1348	34	34	39	0	5	34	38	0	4	0	0	false	12	525
lore_scriptorium	132	-1304	32	30	34	2	2	30	34	2	2	0	0	false	13	483
lore_archive	176	-1392	32	30	34	2	2	30	34	2	2	0	0	false	14	399
lore_herb_garden	176	-1348	38	35	38	3	0	35	38	3	0	0	0	false	8	529
lore_chapter_house	176	-1304	28	26	32	2	4	26	30	2	2	0	0	false	12	323
lore_almonry	220	-1392	34	32	34	2	0	32	34	2	0	0	0	false	10	255
lore_cloister_walk	220	-1348	30	30	34	0	4	30	34	0	4	0	0	false	9	231
lore_quiet_grove	220	-1304	34	30	34	4	0	30	34	4	0	0	0	false	11	361
lore_chapel_yard	76	-1296	28	26	34	2	6	26	33	2	5	0	0	false	11	399
lore_physic_field	180	-1424	32	30	40	2	8	30	38	2	6	0	0	false	8	529
lore_sexton_garden	172	-1276	32	26	36	6	4	26	34	6	2	0	0	false	8	289
lore_green	144	-1416	38	34	40	4	2	34	39	4	1	0	0	false	8	121
homes_tavern	-48	-1576	48	46	50	2	2	46	50	2	2	0	0	false	11	483
homes_well	-48	-1632	46	44	50	2	4	44	50	2	4	0	0	false	8	289
homes_monument	-48	-1672	50	48	52	2	2	48	52	2	2	0	0	false	11	289
homes_house_gable	-84	-1616	46	46	48	0	2	46	48	0	2	0	0	false	10	195
homes_house_hip	-84	-1652	48	47	49	1	1	47	48	1	0	0	0	false	9	255
homes_house_lane	-84	-1696	48	46	50	2	2	46	50	2	2	0	0	false	10	225
homes_tenement	-120	-1584	44	42	48	2	4	42	48	2	4	0	0	false	12	391
homes_bakehouse	-128	-1628	40	40	45	0	5	40	44	0	4	0	0	false	10	340
homes_orchard	-120	-1664	46	44	48	2	2	44	48	2	2	0	0	false	11	475
homes_common_field	-68	-1728	47	44	50	3	3	44	50	3	3	0	0	false	8	529
homes_goose_green	-224	-1616	34	32	36	2	2	32	36	2	2	0	0	false	8	529
homes_lane_park	-196	-1720	36	35	38	1	2	35	38	1	2	0	0	false	8	289
homes_kitchen_garden	-116	-1560	43	42	44	1	1	42	44	1	1	0	0	false	8	121
