capital	kind	x	y	z	expected	actual	param2
lethariel	ring	-48	0	-48	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	-48	1	-48	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	-48	2	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-48	3	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	48	0	-48	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	48	1	-48	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	48	2	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	48	3	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-48	0	48	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	-48	1	48	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	-48	2	48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-48	3	48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-47	0	-48	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	-47	1	-48	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	-47	2	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-47	3	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	48	0	-47	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	48	1	-47	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	48	2	-47	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	48	3	-47	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-47	0	48	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	-47	1	48	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	-47	2	48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-47	3	48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-48	0	-47	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	-48	1	-47	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	-48	2	-47	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-48	3	-47	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-46	0	-48	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	-46	1	-48	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	-46	2	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-46	3	-48	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	48	0	-46	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	48	1	-46	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
lethariel	ring	48	2	-46	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	48	3	-46	grug_trees:silverwood_leaves	grug_trees:silverwood_leaves	0
lethariel	ring	-46	0	48	grug_nodes:dirt_with_silver_litter	grug_nodes:dirt_with_silver_litter	0
lethariel	ring	-46	1	48	grug_trees:silverwood_tree	grug_trees:silverwood_tree	0
