plot	reference_x	reference_z	reference_y	perimeter_min	perimeter_max	perimeter_fall	perimeter_rise	footprint_min	footprint_max	footprint_fall	footprint_rise	submerged	submerged_margin	reference_wet	clear_to	columns
market_granary	1728	-1424	38	35	41	3	3	35	41	3	3	0	0	false	13	357
market_stable	1676	-1428	38	34	41	4	3	34	41	4	3	0	0	false	11	529
market_bowyer	1626	-1428	32	29	33	3	1	29	32	3	0	0	0	false	11	418
market_weaver	1728	-1376	29	29	32	0	3	29	32	0	3	0	0	false	13	437
market_fountain	1676	-1376	32	30	32	2	0	30	32	2	0	0	0	false	8	361
market_watch	1620	-1378	37	32	41	5	4	32	41	5	4	0	0	false	12	437
market_grove	1728	-1324	34	32	35	2	1	32	35	2	1	0	0	false	11	361
market_orchard	1676	-1324	32	32	35	0	3	32	35	0	3	0	0	false	11	391
market_bakehouse	1634	-1338	38	36	42	2	4	36	41	2	3	0	0	false	12	357
market_gardens	1584	-1396	31	26	37	5	6	26	36	5	5	0	0	false	8	529
market_close	1704	-1294	35	32	38	3	3	32	38	3	3	0	0	false	8	529
market_paddock	1592	-1288	67	62	68	5	1	62	68	5	1	0	0	false	8	289
market_green	1692	-1352	29	29	32	0	3	29	32	0	3	0	0	false	8	121
martial_barracks	1722	-1572	44	43	47	1	3	43	47	1	3	0	0	false	12	437
martial_armoury	1728	-1624	47	45	47	2	0	45	47	2	0	0	0	false	11	418
martial_tower	1728	-1676	41	41	44	0	3	41	44	0	3	0	0	false	14	225
martial_hall	1676	-1572	41	38	44	3	3	38	44	3	3	0	0	false	12	437
martial_stable	1676	-1624	41	37	45	4	4	37	44	4	3	0	0	false	11	357
martial_store	1676	-1676	38	38	41	0	3	38	41	0	3	0	0	false	12	357
martial_grove	1624	-1578	35	32	41	3	6	32	41	3	6	0	0	false	11	361
martial_lodge	1624	-1624	38	35	41	3	3	35	41	3	3	0	0	false	11	225
martial_bough	1630	-1668	35	35	38	0	3	35	36	0	1	0	0	false	13	225
martial_lawn	1712	-1706	35	35	39	0	4	35	38	0	3	0	0	false	8	529
martial_butts	1584	-1604	32	29	35	3	3	29	35	3	3	0	0	false	8	529
martial_woodyard	1586	-1710	60	54	65	6	5	54	64	6	4	0	0	false	8	289
martial_mess	1652	-1608	38	38	41	0	3	38	41	0	3	0	0	false	8	121
mere_shrine	1846	-1294	29	29	29	0	0	29	29	0	0	0	0	false	9	225
mere_lore_hall	1982	-1266	62	58	65	4	3	58	65	4	3	0	0	false	13	437
mere_mourning	2018	-1286	62	60	62	2	0	60	62	2	0	0	0	false	11	361
mere_stages	1872	-1286	27	26	32	1	5	26	29	1	2	0	0	false	8	289
mere_walk	1958	-1268	56	51	62	5	6	51	62	5	6	0	0	false	8	121
homes_terrace_west	1872	-1574	45	44	47	1	2	44	47	1	2	0	0	false	11	225
homes_terrace_east	1924	-1572	47	47	50	0	3	47	50	0	3	0	0	false	10	225
homes_longhouse	1976	-1572	47	44	50	3	3	44	50	3	3	0	0	false	12	357
homes_brewhouse	1872	-1626	42	40	44	2	2	40	44	2	2	0	0	false	11	418
homes_carver	1924	-1618	47	41	53	6	6	41	53	6	6	0	0	false	12	437
homes_feast_hall	1976	-1624	53	47	53	6	0	47	53	6	0	0	0	false	13	437
homes_bough	1872	-1676	39	38	41	1	2	38	41	1	2	0	0	false	12	225
homes_court	1924	-1676	41	39	42	2	1	39	41	2	0	0	0	false	8	361
homes_grove	1978	-1666	44	42	48	2	4	42	46	2	2	0	0	false	11	361
homes_gardens	2016	-1604	53	48	53	5	0	48	53	5	0	0	0	false	8	529
homes_singing_grove	1880	-1706	36	35	38	1	2	35	38	1	2	0	0	false	8	529
homes_yard	2010	-1708	58	56	60	2	2	56	59	2	1	0	0	false	8	289
homes_green	1908	-1648	39	38	41	1	2	38	41	1	2	0	0	false	8	121
