ACTION[Main]: GRUG_WP13_CAPITAL event=districts lore_spiritual=northeast market_professions=northwest martial_garrison=southwest residential_cultural=southeast permutation=2,3,1
ACTION[Main]: GRUG_WP13_CAPITAL event=start engine=5.17.0 seed=531802985935182545 manifest=1ed903592bfb06c812f89e92dc7bd283fee2b81fe08aba9b146294fd85795051 sockets_registered=1881 anchor=1800,41,-1500 mode=full build_us=module_load=18375,core=199455,plot_market_granary=44624,plot_market_stable=56174,plot_market_bowyer=51400,plot_market_weaver=76946,plot_market_fountain=35834,plot_market_watch=62376,plot_market_grove=9511,plot_market_orchard=7134,plot_market_bakehouse=7136,plot_market_gardens=4161,plot_market_close=4593,plot_market_paddock=2173,plot_market_green=988,plot_martial_barracks=8369,plot_martial_armoury=8699,plot_martial_tower=4232,plot_martial_hall=8770,plot_martial_stable=6768,plot_martial_store=6674,plot_martial_grove=8617,plot_martial_lodge=3761,plot_martial_bough=3701,plot_martial_lawn=3983,plot_martial_butts=3896,plot_martial_woodyard=1970,plot_martial_mess=905,plot_mere_shrine=2387,plot_mere_lore_hall=8864,plot_mere_mourning=8061,plot_mere_stages=2660,plot_mere_walk=873,plot_homes_terrace_west=3836,plot_homes_terrace_east=3504,plot_homes_longhouse=6200,plot_homes_brewhouse=7482,plot_homes_carver=7131,plot_homes_feast_hall=7210,plot_homes_bough=3220,plot_homes_court=3094,plot_homes_grove=7688,plot_homes_gardens=3889,plot_homes_singing_grove=3745,plot_homes_yard=1877,plot_homes_green=864
ACTION[Main]: GRUG_WP13_CAPITAL event=build
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time module_load=18375
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time core=199455
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_granary=44624
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_stable=56174
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bowyer=51400
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_weaver=76946
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_fountain=35834
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_watch=62376
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_grove=9511
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_orchard=7134
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_bakehouse=7136
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_gardens=4161
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_close=4593
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_paddock=2173
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_market_green=988
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_barracks=8369
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_armoury=8699
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_tower=4232
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_hall=8770
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_stable=6768
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_store=6674
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_grove=8617
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lodge=3761
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_bough=3701
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_lawn=3983
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_butts=3896
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_woodyard=1970
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_martial_mess=905
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_shrine=2387
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_lore_hall=8864
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_mourning=8061
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_stages=2660
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_mere_walk=873
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_west=3836
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_terrace_east=3504
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_longhouse=6200
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_brewhouse=7482
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_carver=7131
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_feast_hall=7210
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_bough=3220
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_court=3094
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_grove=7688
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_gardens=3889
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_singing_grove=3745
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_yard=1877
ACTION[Main]: GRUG_WP13_CAPITAL event=build_time plot_homes_green=864
ACTION[Main]: GRUG_WP13_CAPITAL event=socket sockets=276
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_gear_display=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_patrol=43
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_guard_post=14
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_idle=130
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_king=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_mount_display=4
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_public_station=7
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_quest=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_riding_trainer=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_trainer=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_vendor=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_waypoint=1
ACTION[Main]: GRUG_WP13_CAPITAL event=socket role_work=53
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loops=8
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_east_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_south_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_gate_west_tower=2
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_homes_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_market_watch=10
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_martial_watch=9
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_mere_watch=3
ACTION[Main]: GRUG_WP13_CAPITAL event=socket loop_lethariel_watch=6
ACTION[Main]: GRUG_WP13_CAPITAL event=corpus mapchunks=112
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=warmup mapchunk=1488:48:688 kind=warmup elapsed_us=32399123
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1552 kind=control_capital elapsed_us=15561349
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1552 kind=control_capital elapsed_us=16091906
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1552 kind=control_capital elapsed_us=569659
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1552 kind=control_capital elapsed_us=317169
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:-32:-1472 kind=control_capital elapsed_us=656726
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:-32:-1472 kind=control_capital elapsed_us=483684
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1728:48:-1472 kind=control_capital elapsed_us=268500
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=control_capital_lethariel mapchunk=1808:48:-1472 kind=control_capital elapsed_us=287533
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:-32:-1472 kind=capital elapsed_us=658989
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_granary mapchunk=1648:48:-1472 kind=capital elapsed_us=288376
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_bowyer mapchunk=1568:-32:-1472 kind=capital elapsed_us=674476
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1648:-32:-1392 kind=capital elapsed_us=671138
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_weaver mapchunk=1728:-32:-1392 kind=capital elapsed_us=561707
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:-32:-1392 kind=capital elapsed_us=600005
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_watch mapchunk=1568:48:-1392 kind=capital elapsed_us=286342
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1648:48:-1392 kind=capital elapsed_us=256892
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_grove mapchunk=1728:48:-1392 kind=capital elapsed_us=253953
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_close mapchunk=1648:-32:-1312 kind=capital elapsed_us=663111
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_market_paddock mapchunk=1568:48:-1312 kind=capital elapsed_us=472434
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:-32:-1632 kind=capital elapsed_us=891454
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:-32:-1632 kind=capital elapsed_us=661541
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1648:48:-1632 kind=capital elapsed_us=306525
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_barracks mapchunk=1728:48:-1632 kind=capital elapsed_us=305844
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:-32:-1712 kind=capital elapsed_us=702800
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:-32:-1712 kind=capital elapsed_us=574080
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1648:48:-1712 kind=capital elapsed_us=310811
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_armoury mapchunk=1728:48:-1712 kind=capital elapsed_us=313962
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:-32:-1632 kind=capital elapsed_us=742406
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_grove mapchunk=1568:48:-1632 kind=capital elapsed_us=276681
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:-32:-1712 kind=capital elapsed_us=555028
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_bough mapchunk=1568:48:-1712 kind=capital elapsed_us=310442
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_lawn mapchunk=1648:-32:-1792 kind=capital elapsed_us=668975
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_martial_woodyard mapchunk=1568:48:-1792 kind=capital elapsed_us=523781
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_shrine mapchunk=1808:-32:-1312 kind=capital elapsed_us=831927
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_lore_hall mapchunk=1968:48:-1312 kind=capital elapsed_us=766208
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_mere_walk mapchunk=1888:48:-1312 kind=capital elapsed_us=469021
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:-32:-1632 kind=capital elapsed_us=931877
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_west mapchunk=1808:48:-1632 kind=capital elapsed_us=309701
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:-32:-1632 kind=capital elapsed_us=851572
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_terrace_east mapchunk=1888:48:-1632 kind=capital elapsed_us=306498
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:-32:-1632 kind=capital elapsed_us=759586
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_longhouse mapchunk=1968:48:-1632 kind=capital elapsed_us=304326
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:-32:-1712 kind=capital elapsed_us=680436
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_brewhouse mapchunk=1808:48:-1712 kind=capital elapsed_us=259680
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:-32:-1712 kind=capital elapsed_us=730051
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1968:-32:-1712 kind=capital elapsed_us=753136
ACTION[Emerge-0]: GRUG_WP13_CAPITAL event=mapchunk case=plot_homes_feast_hall mapchunk=1888:48:-1712 kind=capital elapsed_us=288355
