kind	name	count	total	min	max	mean
metric	plan_us	92	23882794	70876	675455	259595.587
metric	writer_us	92	16148096	47828	486141	175522.783
metric	total_us	92	40030890	119138	1005456	435118.370
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	104416	0	3586	1134.957
metric	r5_runs	92	1387423	6400	25661	15080.685
metric	vm_get_emerged_area_us	92	168	1	5	1.826
metric	vm_get_data_us	92	371502	3787	4327	4038.065
metric	vm_get_param2_data_us	92	371049	3784	4329	4033.141
metric	vm_get_light_data_us	92	461583	0	9764	5017.207
metric	vm_set_data_us	92	406021	0	8151	4413.272
metric	vm_set_param2_data_us	92	292583	0	7141	3180.250
metric	vm_set_lighting_us	92	5837	0	182	63.446
metric	vm_calc_lighting_us	92	328433	0	12714	3569.924
metric	vm_set_light_data_us	92	388000	0	7553	4217.391
metric	vm_update_liquids_us	92	55265	0	1232	600.707
writer_result	applied_clq	13	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cl	1	-	-	-	-
writer_result	noop_equal_content	35	-	-	-	-
writer_result	applied_cplq	42	-	-	-	-
callbacks	all	92	-	-	-	-
