diagnostic	copied strict constructor; live pins unchanged
accepted_r6_content	0c1c1efa25f1d173680ebc94aeed87d969ca56572a06b0e1fcb8378f16a2783d
consumer_payload	c6132247f268c6def7d5f8c60a1de7d93e52d99c5da9367526182c0d89d902b7
cultural	263b9bf0a470295b62791f85effd59eee9090c82d5f4d050e4f97ba88bb79fb6
decoded_templates	0f9c1230f22f7a2782cd57d3b7d5d5029d9f3eeed18a29f729f10b8bf92b9ec0
gathering	ad4d5ea64a408ea2dde27ccfeacd3338df9b1a79f63bbe5bbd1be657e2b2dfe9
native_allowlist	d1fe4ac1c7cbe5525af65bde48cc4309870c01e4d474785f2cf0cda3d2639480
native_noise	5a1183a0db4dcbf7c2fce382e907660bfd26e53325d370f62a2d9e78c04d8738
p9g_semantics	4982608737ad1a25f5af057bb18db19af28cfc65482225bda954fcdc1868da03
production_semantics	e7f1204a434fb773b78562c4655cb949e7f5637b6c165b7d3228056d6ed56296
r6_catalog	71686cbaff9a2b6acb0415a3eda0ebc2d056412db1879c1bf4fcb162e14f4f74
schema	grug_wp40_r7_source_projection_v1
world_rules	0fc6e4dfcad325fa0247a6fcada3753c9e6d420c5556056a565c477b13692262
wp43_projection	3fe1fef43404bdddb1d5cb84669d73f393460e74542d2f95ad6494f91569dc25
SOURCE_PROJECTION_SHA256	461d67ef63c4364764a615871fd1771a5a6ef636796f82511b6de563a7bb056b
strict_manifest_sha256	b8467a57ea2463219bbaaf6cbfb6bd1e14ac963fc1452dc2782b487632b91e49
