case	x	z	owner_x	owner_z	class	claim	cave_claim	incoming	final	kind	functional_id	landmark	profile	distance	width	run	coast_y
1	-420	-2730	60	70	land	-	-	23	1	-	-	false	beach	3	25	6/2/-57/sea_lowland	1
1	-419	-2730	61	70	land	-	-	23	1	-	-	false	beach	4	25	6/2/-57/sea_lowland	1
1	-418	-2730	62	70	land	-	-	23	2	-	-	false	beach	5	25	6/2/-57/sea_lowland	2
1	-417	-2730	63	70	land	-	-	23	2	-	-	false	beach	6	25	6/2/-57/sea_lowland	2
1	-416	-2730	64	70	land	-	-	23	2	-	-	false	beach	7	25	6/2/-57/sea_lowland	2
1	-415	-2730	65	70	land	-	-	23	2	-	-	false	beach	8	25	6/2/-57/sea_lowland	2
1	-414	-2730	66	70	land	-	-	23	3	-	-	false	beach	9	25	6/2/-57/sea_lowland	3
1	-413	-2730	67	70	land	-	-	23	3	-	-	false	beach	10	25	6/2/-57/sea_lowland	3
1	-412	-2730	68	70	land	-	-	23	3	-	-	false	beach	11	25	6/2/-57/sea_lowland	3
1	-411	-2730	69	70	land	-	-	23	3	-	-	false	beach	12	25	6/2/-57/sea_lowland	3
1	-410	-2730	70	70	land	-	-	23	4	-	-	false	beach	13	25	6/2/-57/sea_lowland	4
1	-409	-2730	71	70	land	-	-	23	4	-	-	false	beach	14	25	6/2/-57/sea_lowland	4
1	-408	-2730	72	70	land	-	-	23	4	-	-	false	beach	15	25	6/2/-57/sea_lowland	4
1	-420	-2729	60	71	land	-	-	23	1	-	-	false	beach	4	25	6/2/-57/sea_lowland	1
1	-419	-2729	61	71	land	-	-	23	2	-	-	false	beach	5	25	6/2/-57/sea_lowland	2
1	-418	-2729	62	71	land	-	-	23	2	-	-	false	beach	6	25	6/2/-57/sea_lowland	2
1	-417	-2729	63	71	land	-	-	23	2	-	-	false	beach	7	25	6/2/-57/sea_lowland	2
1	-416	-2729	64	71	land	-	-	23	2	-	-	false	beach	8	25	6/2/-57/sea_lowland	2
1	-415	-2729	65	71	land	-	-	23	3	-	-	false	beach	9	25	6/2/-57/sea_lowland	3
1	-414	-2729	66	71	land	-	-	23	3	-	-	false	beach	10	25	6/2/-57/sea_lowland	3
1	-413	-2729	67	71	land	-	-	23	3	-	-	false	beach	11	25	6/2/-57/sea_lowland	3
