case	x	z	owner_x	owner_z	class	claim	cave_claim	incoming	final	kind	functional_id	landmark	profile	distance	width	run	coast_y
1	-446	-2756	34	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-445	-2756	35	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-444	-2756	36	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-443	-2756	37	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-442	-2756	38	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-441	-2756	39	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-440	-2756	40	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-439	-2756	41	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-438	-2756	42	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-437	-2756	43	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-436	-2756	44	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-5	-5	-	-	false	-	-	-	-	-
1	-435	-2756	45	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-434	-2756	46	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-433	-2756	47	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-432	-2756	48	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-431	-2756	49	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-430	-2756	50	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-429	-2756	51	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-428	-2756	52	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-427	-2756	53	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-6	-6	-	-	false	-	-	-	-	-
1	-426	-2756	54	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-425	-2756	55	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-424	-2756	56	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-423	-2756	57	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-422	-2756	58	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-421	-2756	59	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-420	-2756	60	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-419	-2756	61	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-418	-2756	62	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-417	-2756	63	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-416	-2756	64	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-415	-2756	65	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
1	-414	-2756	66	44	planned_water	exclude:water:bay_elandor_west	exclude:water:bay_elandor_west	-7	-7	-	-	false	-	-	-	-	-
