kind	variant	population	metric	runs	median	min	max
owners	before	corpus	count	1	10	-	-
total_us	before	corpus	plan_us	1	9198683	9198683	9198683
total_us	before	corpus	writer_us	1	5600941	5600941	5600941
total_us	before	corpus	total_us	1	14799624	14799624	14799624
owners	before	startup_other	count	1	87	-	-
total_us	before	startup_other	plan_us	1	22131466	22131466	22131466
total_us	before	startup_other	writer_us	1	24932023	24932023	24932023
total_us	before	startup_other	total_us	1	47063489	47063489	47063489
owners	before	all	count	1	97	-	-
total_us	before	all	plan_us	1	31330149	31330149	31330149
total_us	before	all	writer_us	1	30532964	30532964	30532964
total_us	before	all	total_us	1	61863113	61863113	61863113
total_us	before	fresh_start	elapsed_us	1	77572800	77572800	77572800
owners	after	corpus	count	1	10	-	-
total_us	after	corpus	plan_us	1	4820731	4820731	4820731
total_us	after	corpus	writer_us	1	3694259	3694259	3694259
total_us	after	corpus	total_us	1	8514990	8514990	8514990
owners	after	startup_other	count	1	87	-	-
total_us	after	startup_other	plan_us	1	20170754	20170754	20170754
total_us	after	startup_other	writer_us	1	16182765	16182765	16182765
total_us	after	startup_other	total_us	1	36353519	36353519	36353519
owners	after	all	count	1	97	-	-
total_us	after	all	plan_us	1	24991485	24991485	24991485
total_us	after	all	writer_us	1	19877024	19877024	19877024
total_us	after	all	total_us	1	44868509	44868509	44868509
total_us	after	fresh_start	elapsed_us	1	64187408	64187408	64187408
paired_ratio	after/before:1	corpus	plan_us	1	0.5240675214049664	0.5240675214049664	0.5240675214049664
paired_ratio_summary	after/before	corpus	plan_us	1	0.5240675214049664	0.5240675214049664	0.5240675214049664
paired_ratio	after/before:1	corpus	writer_us	1	0.6595782744363848	0.6595782744363848	0.6595782744363848
paired_ratio_summary	after/before	corpus	writer_us	1	0.6595782744363848	0.6595782744363848	0.6595782744363848
paired_ratio	after/before:1	corpus	total_us	1	0.5753517792073637	0.5753517792073637	0.5753517792073637
paired_ratio_summary	after/before	corpus	total_us	1	0.5753517792073637	0.5753517792073637	0.5753517792073637
paired_ratio	after/before:1	startup_other	plan_us	1	0.9114061400180178	0.9114061400180178	0.9114061400180178
paired_ratio_summary	after/before	startup_other	plan_us	1	0.9114061400180178	0.9114061400180178	0.9114061400180178
paired_ratio	after/before:1	startup_other	writer_us	1	0.6490754881783961	0.6490754881783961	0.6490754881783961
paired_ratio_summary	after/before	startup_other	writer_us	1	0.6490754881783961	0.6490754881783961	0.6490754881783961
paired_ratio	after/before:1	startup_other	total_us	1	0.7724356985093052	0.7724356985093052	0.7724356985093052
paired_ratio_summary	after/before	startup_other	total_us	1	0.7724356985093052	0.7724356985093052	0.7724356985093052
paired_ratio	after/before:1	all	plan_us	1	0.7976816516257232	0.7976816516257232	0.7976816516257232
paired_ratio_summary	after/before	all	plan_us	1	0.7976816516257232	0.7976816516257232	0.7976816516257232
paired_ratio	after/before:1	all	writer_us	1	0.6510021103748722	0.6510021103748722	0.6510021103748722
paired_ratio_summary	after/before	all	writer_us	1	0.6510021103748722	0.6510021103748722	0.6510021103748722
paired_ratio	after/before:1	all	total_us	1	0.7252869573504974	0.7252869573504974	0.7252869573504974
paired_ratio_summary	after/before	all	total_us	1	0.7252869573504974	0.7252869573504974	0.7252869573504974
paired_ratio	after/before:1	fresh_start	elapsed_us	1	0.827447352680321	0.827447352680321	0.827447352680321
paired_ratio_summary	after/before	fresh_start	elapsed_us	1	0.827447352680321	0.827447352680321	0.827447352680321
