kind	name	count	total	min	max	mean
metric	plan_us	97	31330149	50056	2699867	322991.227
metric	writer_us	97	30532964	119274	1125763	314772.825
metric	total_us	97	61863113	173389	3825630	637764.052
metric	columns	97	620800	6400	6400	6400.000
metric	candidate_cells	97	4753	49	49	49.000
metric	candidates	97	102604	0	3550	1057.773
metric	r5_runs	97	1494989	0	25662	15412.258
metric	vm_get_emerged_area_us	97	214	1	16	2.206
metric	vm_get_data_us	97	391561	3783	4335	4036.711
metric	vm_get_param2_data_us	97	390204	3781	4571	4022.722
metric	vm_get_light_data_us	97	588850	0	9225	6070.619
metric	vm_set_data_us	97	528001	0	7696	5443.309
metric	vm_set_param2_data_us	97	319598	0	7806	3294.825
metric	vm_set_lighting_us	97	7397	0	153	76.258
metric	vm_calc_lighting_us	97	446994	0	13674	4608.186
metric	vm_set_light_data_us	97	507534	0	8791	5232.309
metric	vm_update_liquids_us	97	69587	0	1174	717.392
writer_result	applied_clq	27	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	noop_equal_content	24	-	-	-	-
writer_result	applied_cplq	45	-	-	-	-
callbacks	all	97	-	-	-	-
