kind	name	count	total	min	max	mean
metric	plan_us	97	23376665	37753	782354	240996.546
metric	writer_us	97	23642849	70458	496686	243740.711
metric	total_us	97	47019514	108609	1202898	484737.258
metric	columns	97	620800	6400	6400	6400.000
metric	candidate_cells	97	4753	49	49	49.000
metric	candidates	97	102604	0	3550	1057.773
metric	r5_runs	97	1494989	0	25662	15412.258
metric	vm_get_emerged_area_us	97	197	1	6	2.031
metric	vm_get_data_us	97	391771	3787	4380	4038.876
metric	vm_get_param2_data_us	97	391456	3782	4623	4035.629
metric	vm_get_light_data_us	97	591540	0	9872	6098.351
metric	vm_set_data_us	97	525138	0	7493	5413.794
metric	vm_set_param2_data_us	97	317599	0	7455	3274.216
metric	vm_set_lighting_us	97	7465	0	195	76.959
metric	vm_calc_lighting_us	97	449213	0	13920	4631.062
metric	vm_set_light_data_us	97	507183	0	7302	5228.691
metric	vm_update_liquids_us	97	69136	0	1082	712.742
writer_result	applied_clq	27	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	noop_equal_content	24	-	-	-	-
writer_result	applied_cplq	45	-	-	-	-
callbacks	all	97	-	-	-	-
