kind	name	count	total	min	max	mean
metric	plan_us	97	31664377	50979	3186635	326436.876
metric	writer_us	97	23990552	57520	1056886	247325.278
metric	total_us	97	55654929	113926	4243521	573762.155
metric	columns	97	620800	6400	6400	6400.000
metric	candidate_cells	97	4753	49	49	49.000
metric	candidates	97	102604	0	3550	1057.773
metric	r5_runs	97	1494989	0	25662	15412.258
metric	vm_get_emerged_area_us	97	199	1	7	2.052
metric	vm_get_data_us	97	392289	3785	6884	4044.216
metric	vm_get_param2_data_us	97	390675	3782	5930	4027.577
metric	vm_get_light_data_us	97	588550	0	9713	6067.526
metric	vm_set_data_us	97	524047	0	7707	5402.546
metric	vm_set_param2_data_us	97	318440	0	7941	3282.887
metric	vm_set_lighting_us	97	7949	0	416	81.948
metric	vm_calc_lighting_us	97	448634	0	13618	4625.093
metric	vm_set_light_data_us	97	506216	0	8069	5218.722
metric	vm_update_liquids_us	97	71064	0	1399	732.619
writer_result	applied_clq	27	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	noop_equal_content	24	-	-	-	-
writer_result	applied_cplq	45	-	-	-	-
callbacks	all	97	-	-	-	-
