kind	variant	population	metric	runs	median	min	max
owners	after	corpus	count	1	10	-	-
total_us	after	corpus	plan_us	1	4832868	4832868	4832868
total_us	after	corpus	writer_us	1	3879630	3879630	3879630
total_us	after	corpus	total_us	1	8712498	8712498	8712498
owners	after	startup_other	count	1	87	-	-
total_us	after	startup_other	plan_us	1	18543797	18543797	18543797
total_us	after	startup_other	writer_us	1	19763219	19763219	19763219
total_us	after	startup_other	total_us	1	38307016	38307016	38307016
owners	after	all	count	1	97	-	-
total_us	after	all	plan_us	1	23376665	23376665	23376665
total_us	after	all	writer_us	1	23642849	23642849	23642849
total_us	after	all	total_us	1	47019514	47019514	47019514
total_us	after	fresh_start	elapsed_us	1	65924990	65924990	65924990
owners	before	corpus	count	1	10	-	-
total_us	before	corpus	plan_us	1	9816047	9816047	9816047
total_us	before	corpus	writer_us	1	5003849	5003849	5003849
total_us	before	corpus	total_us	1	14819896	14819896	14819896
owners	before	startup_other	count	1	87	-	-
total_us	before	startup_other	plan_us	1	21848330	21848330	21848330
total_us	before	startup_other	writer_us	1	18986703	18986703	18986703
total_us	before	startup_other	total_us	1	40835033	40835033	40835033
owners	before	all	count	1	97	-	-
total_us	before	all	plan_us	1	31664377	31664377	31664377
total_us	before	all	writer_us	1	23990552	23990552	23990552
total_us	before	all	total_us	1	55654929	55654929	55654929
total_us	before	fresh_start	elapsed_us	1	72237394	72237394	72237394
paired_ratio	after/before:1	corpus	plan_us	1	0.49234360837921826	0.49234360837921826	0.49234360837921826
paired_ratio_summary	after/before	corpus	plan_us	1	0.49234360837921826	0.49234360837921826	0.49234360837921826
paired_ratio	after/before:1	corpus	writer_us	1	0.7753291516190837	0.7753291516190837	0.7753291516190837
paired_ratio_summary	after/before	corpus	writer_us	1	0.7753291516190837	0.7753291516190837	0.7753291516190837
paired_ratio	after/before:1	corpus	total_us	1	0.5878919798087652	0.5878919798087652	0.5878919798087652
paired_ratio_summary	after/before	corpus	total_us	1	0.5878919798087652	0.5878919798087652	0.5878919798087652
paired_ratio	after/before:1	startup_other	plan_us	1	0.8487512317875097	0.8487512317875097	0.8487512317875097
paired_ratio_summary	after/before	startup_other	plan_us	1	0.8487512317875097	0.8487512317875097	0.8487512317875097
paired_ratio	after/before:1	startup_other	writer_us	1	1.040897885219988	1.040897885219988	1.040897885219988
paired_ratio_summary	after/before	startup_other	writer_us	1	1.040897885219988	1.040897885219988	1.040897885219988
paired_ratio	after/before:1	startup_other	total_us	1	0.9380919564825624	0.9380919564825624	0.9380919564825624
paired_ratio_summary	after/before	startup_other	total_us	1	0.9380919564825624	0.9380919564825624	0.9380919564825624
paired_ratio	after/before:1	all	plan_us	1	0.7382638540464573	0.7382638540464573	0.7382638540464573
paired_ratio_summary	after/before	all	plan_us	1	0.7382638540464573	0.7382638540464573	0.7382638540464573
paired_ratio	after/before:1	all	writer_us	1	0.985506669458877	0.985506669458877	0.985506669458877
paired_ratio_summary	after/before	all	writer_us	1	0.985506669458877	0.985506669458877	0.985506669458877
paired_ratio	after/before:1	all	total_us	1	0.8448400679839156	0.8448400679839156	0.8448400679839156
paired_ratio_summary	after/before	all	total_us	1	0.8448400679839156	0.8448400679839156	0.8448400679839156
paired_ratio	after/before:1	fresh_start	elapsed_us	1	0.9126158399346466	0.9126158399346466	0.9126158399346466
paired_ratio_summary	after/before	fresh_start	elapsed_us	1	0.9126158399346466	0.9126158399346466	0.9126158399346466
