horizontal_seconds	0.023592
height_seconds	8.949604
lake	hydro_frostbarrow_tarns	119	146	1	3
lake	hydro_lethariel_lake	0	161	8	11
lake	hydro_moonfall_lake	104	168	1	10
lake	hydro_raincall_headwater	0	118	2	3
point	-1680	-2932	4	bluff	6	4	1
point	-1680	-2944	0	nil	nil	nil	nil
point	-1680	-2920	15	bluff	16	15	1
point	-1800	-2350	28	nil	nil	nil	nil
point	-1650	-2200	69	beach	12	69	19
point	-1500	-1850	61	nil	nil	nil	nil
point	-3150	0	211	nil	nil	nil	nil
coast	-1720	-2936	1	beach	2	1	1	low
coast	-1712	-2936	1	beach	2	1	1	low
coast	-1704	-2936	1	beach	3	1	1	low
coast	-1696	-2936	1	beach	2	1	1	low
coast	-1688	-2936	1	beach	2	1	1	low
coast	-1680	-2936	1	beach	2	1	1	low
coast	-1720	-2928	2	beach	10	2	1	low
coast	-1712	-2928	2	beach	10	2	1	low
coast	-1704	-2928	3	beach	11	3	1	low
coast	-1696	-2928	2	beach	10	2	1	low
coast	-1688	-2928	7	beach	10	7	1	low
coast	-1680	-2928	13	bluff	10	13	1	high
coast	-1672	-2928	10	bluff	8	10	1	high
coast	-1664	-2928	12	bluff	8	12	1	high
coast	-1656	-2928	12	bluff	8	12	1	high
coast	-1648	-2928	6	bluff	6	6	1	low
coast	-1640	-2928	6	bluff	5	6	1	high
coast	-1720	-2920	4	beach	20	4	1	low
coast	-1712	-2920	4	beach	20	4	1	low
coast	-1704	-2920	4	beach	20	4	1	low
coast	-1696	-2920	4	beach	20	4	1	low
coast	-1688	-2920	10	beach	20	10	1	low
coast	-1680	-2920	15	bluff	16	15	1	high
coast	-1672	-2920	21	bluff	16	21	1	high
coast	-1664	-2920	26	bluff	16	26	1	high
coast	-1656	-2920	26	bluff	16	26	1	high
coast	-1648	-2920	25	bluff	14	25	1	high
coast	-1640	-2920	26	bluff	13	26	1	high
coast	-1720	-2912	9	beach	28	9	1	low
coast	-1712	-2912	6	beach	28	6	1	low
coast	-1704	-2912	6	beach	28	6	1	low
coast	-1696	-2912	6	beach	28	6	1	low
coast	-1688	-2912	11	beach	27	11	1	low
coast	-1680	-2912	16	bluff	24	16	1	high
coast	-1672	-2912	21	bluff	24	21	1	high
coast	-1664	-2912	27	bluff	24	27	1	high
coast	-1656	-2912	27	bluff	24	27	1	high
coast	-1648	-2912	26	bluff	24	26	1	high
coast	-1640	-2912	26	bluff	23	26	1	high
coast	-1720	-2904	21	beach	36	21	1	high
coast	-1712	-2904	17	beach	36	17	1	high
coast	-1704	-2904	16	beach	36	16	1	high
coast	-1696	-2904	16	beach	36	16	1	high
coast	-1688	-2904	17	beach	34	17	1	high
coast	-1680	-2904	19	bluff	32	19	1	high
coast	-1672	-2904	23	bluff	32	23	1	high
coast	-1664	-2904	27	bluff	32	27	1	high
coast	-1656	-2904	28	bluff	32	28	1	high
coast	-1648	-2904	27	bluff	32	27	1	high
coast	-1640	-2904	27	bluff	30	27	1	high
coast	-1720	-2896	30	beach	44	30	1	high
coast	-1712	-2896	29	beach	44	29	1	high
coast	-1704	-2896	28	beach	44	28	1	high
coast	-1696	-2896	28	beach	44	28	1	high
coast	-1688	-2896	25	beach	42	25	1	high
coast	-1680	-2896	26	bluff	40	26	1	high
coast	-1672	-2896	27	bluff	40	27	1	high
coast	-1664	-2896	29	bluff	40	29	1	high
coast	-1656	-2896	29	bluff	40	29	1	high
coast	-1648	-2896	27	bluff	40	27	1	high
coast	-1640	-2896	27	bluff	38	27	1	high
coast	-1720	-2888	30	beach	52	30	1	high
coast	-1712	-2888	30	beach	52	30	1	high
coast	-1704	-2888	31	beach	52	31	1	high
coast	-1696	-2888	31	beach	52	31	1	high
coast	-1688	-2888	30	beach	49	30	1	high
coast	-1680	-2888	31	bluff	48	31	1	high
coast	-1672	-2888	30	bluff	48	30	1	high
coast	-1664	-2888	30	bluff	48	30	1	high
coast	-1656	-2888	30	bluff	48	30	1	high
coast	-1648	-2888	28	bluff	48	28	1	high
coast	-1640	-2888	27	bluff	46	27	1	high
coast_eligibility	22	50
total_cpu_seconds	9.081809
wall=9.15 user=9.05 sys=0.07
