kind	name	count	total	min	max	mean
metric	plan_us	10	2629156	24159	393944	262915.600
metric	writer_us	10	2777023	98104	351295	277702.300
metric	total_us	10	5406179	317471	656441	540617.900
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3068	0	897	306.800
metric	r5_runs	10	160000	6400	25600	16000.000
metric	vm_get_emerged_area_us	10	20	1	3	2.000
metric	vm_get_data_us	10	42536	4065	4420	4253.600
metric	vm_get_param2_data_us	10	42278	4063	4337	4227.800
metric	vm_get_light_data_us	10	58342	0	8682	5834.200
metric	vm_set_data_us	10	72309	7006	7334	7230.900
metric	vm_set_param2_data_us	10	20981	0	7083	2098.100
metric	vm_set_lighting_us	10	824	0	162	82.400
metric	vm_calc_lighting_us	10	25617	0	6055	2561.700
metric	vm_set_light_data_us	10	49417	0	7103	4941.700
metric	vm_update_liquids_us	10	6902	0	1145	690.200
writer_result	applied_clq	4	-	-	-	-
writer_result	applied_c	3	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
