kind	name	count	total	min	max	mean
metric	plan_us	10	2380216	20598	361493	238021.600
metric	writer_us	10	2223151	82583	292327	222315.100
metric	total_us	10	4603367	103181	646501	460336.700
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	3068	0	897	306.800
metric	r5_runs	10	160000	6400	25600	16000.000
metric	vm_get_emerged_area_us	10	23	1	3	2.300
metric	vm_get_data_us	10	41234	4072	4469	4123.400
metric	vm_get_param2_data_us	10	41126	4069	4435	4112.600
metric	vm_get_light_data_us	10	58485	0	8717	5848.500
metric	vm_set_data_us	10	73139	7009	8188	7313.900
metric	vm_set_param2_data_us	10	21364	0	7134	2136.400
metric	vm_set_lighting_us	10	801	0	157	80.100
metric	vm_calc_lighting_us	10	25978	0	5473	2597.800
metric	vm_set_light_data_us	10	49753	0	7532	4975.300
metric	vm_update_liquids_us	10	7122	0	1163	712.200
writer_result	applied_clq	4	-	-	-	-
writer_result	applied_c	3	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
