kind	name	count	total	min	max	mean
metric	plan_us	16	3886090	146970	368724	242880.625
metric	writer_us	16	4847909	223902	370234	302994.312
metric	total_us	16	8733999	459274	704268	545874.938
metric	columns	16	102400	6400	6400	6400.000
metric	candidate_cells	16	784	49	49	49.000
metric	candidates	16	2189	0	472	136.812
metric	r5_runs	16	390376	6400	25790	24398.500
metric	vm_get_emerged_area_us	16	45	1	10	2.812
metric	vm_get_data_us	16	69878	4124	4623	4367.375
metric	vm_get_param2_data_us	16	69752	4145	4612	4359.500
metric	vm_get_light_data_us	16	137407	8184	8840	8587.938
metric	vm_set_data_us	16	117057	7068	7510	7316.062
metric	vm_set_param2_data_us	16	42222	0	7228	2638.875
metric	vm_set_lighting_us	16	3367	130	312	210.438
metric	vm_calc_lighting_us	16	70458	813	6570	4403.625
metric	vm_set_light_data_us	16	115545	6863	8182	7221.562
metric	vm_update_liquids_us	16	16682	928	1955	1042.625
writer_result	applied_clq	10	-	-	-	-
writer_result	applied_cplq	6	-	-	-	-
callbacks	all	16	-	-	-	-
