kind	name	count	total	min	max	mean
metric	plan_us	15	3971292	170909	384322	264752.800
metric	writer_us	15	4639389	260546	385762	309292.600
metric	total_us	15	8610681	453128	754404	574045.400
metric	columns	15	96000	6400	6400	6400.000
metric	candidate_cells	15	735	49	49	49.000
metric	candidates	15	3678	0	944	245.200
metric	r5_runs	15	383953	25440	25779	25596.867
metric	vm_get_emerged_area_us	15	53	1	17	3.533
metric	vm_get_data_us	15	61438	3809	4287	4095.867
metric	vm_get_param2_data_us	15	60974	3820	4140	4064.933
metric	vm_get_light_data_us	15	123341	7601	8745	8222.733
metric	vm_set_data_us	15	108454	6953	7314	7230.267
metric	vm_set_param2_data_us	15	42838	0	7177	2855.867
metric	vm_set_lighting_us	15	2614	126	344	174.267
metric	vm_calc_lighting_us	15	67296	2974	7087	4486.400
metric	vm_set_light_data_us	15	105643	6766	7123	7042.867
metric	vm_update_liquids_us	15	14522	921	1070	968.133
writer_result	applied_clq	9	-	-	-	-
writer_result	applied_cplq	6	-	-	-	-
callbacks	all	15	-	-	-	-
