kind	name	count	total	min	max	mean
metric	plan_us	16	4075658	154280	386293	254728.625
metric	writer_us	16	4654387	209247	391149	290899.188
metric	total_us	16	8730045	396040	688416	545627.812
metric	columns	16	102400	6400	6400	6400.000
metric	candidate_cells	16	784	49	49	49.000
metric	candidates	16	2189	0	472	136.812
metric	r5_runs	16	390376	6400	25790	24398.500
metric	vm_get_emerged_area_us	16	32	1	3	2.000
metric	vm_get_data_us	16	69375	4077	4430	4335.938
metric	vm_get_param2_data_us	16	69091	4066	4413	4318.188
metric	vm_get_light_data_us	16	139521	8147	9240	8720.062
metric	vm_set_data_us	16	114485	7008	7314	7155.312
metric	vm_set_param2_data_us	16	41874	0	7125	2617.125
metric	vm_set_lighting_us	16	2996	131	645	187.250
metric	vm_calc_lighting_us	16	69159	811	7022	4322.438
metric	vm_set_light_data_us	16	112296	6821	7243	7018.500
metric	vm_update_liquids_us	16	15392	907	1152	962.000
writer_result	applied_clq	10	-	-	-	-
writer_result	applied_cplq	6	-	-	-	-
callbacks	all	16	-	-	-	-
