kind	name	count	total	min	max	mean
metric	plan_us	15	3761530	168941	353785	250768.667
metric	writer_us	15	4323396	240000	324798	288226.400
metric	total_us	15	8084926	429332	653465	538995.067
metric	columns	15	96000	6400	6400	6400.000
metric	candidate_cells	15	735	49	49	49.000
metric	candidates	15	3678	0	944	245.200
metric	r5_runs	15	383953	25440	25779	25596.867
metric	vm_get_emerged_area_us	15	33	1	5	2.200
metric	vm_get_data_us	15	60934	3815	4304	4062.267
metric	vm_get_param2_data_us	15	60578	3789	4125	4038.533
metric	vm_get_light_data_us	15	124111	7598	9037	8274.067
metric	vm_set_data_us	15	107127	6935	7422	7141.800
metric	vm_set_param2_data_us	15	42472	0	7210	2831.467
metric	vm_set_lighting_us	15	2701	128	655	180.067
metric	vm_calc_lighting_us	15	67126	2967	7137	4475.067
metric	vm_set_light_data_us	15	104600	6751	7250	6973.333
metric	vm_update_liquids_us	15	14790	919	1203	986.000
writer_result	applied_clq	9	-	-	-	-
writer_result	applied_cplq	6	-	-	-	-
callbacks	all	15	-	-	-	-
