kind	name	count	total	min	max	mean
metric	plan_us	15	3765415	162442	352802	251027.667
metric	writer_us	15	3907864	218355	291568	260524.267
metric	total_us	15	7673279	429488	616144	511551.933
metric	columns	15	96000	6400	6400	6400.000
metric	candidate_cells	15	735	49	49	49.000
metric	candidates	15	3678	0	944	245.200
metric	r5_runs	15	383953	25440	25779	25596.867
metric	vm_get_emerged_area_us	15	33	2	5	2.200
metric	vm_get_data_us	15	60782	3792	4080	4052.133
metric	vm_get_param2_data_us	15	61061	3786	4410	4070.733
metric	vm_get_light_data_us	15	123948	7592	8718	8263.200
metric	vm_set_data_us	15	108635	6940	8300	7242.333
metric	vm_set_param2_data_us	15	41938	0	7136	2795.867
metric	vm_set_lighting_us	15	2178	124	171	145.200
metric	vm_calc_lighting_us	15	67860	3005	6913	4524.000
metric	vm_set_light_data_us	15	105486	6742	7288	7032.400
metric	vm_update_liquids_us	15	14443	914	1111	962.867
writer_result	applied_clq	9	-	-	-	-
writer_result	applied_cplq	6	-	-	-	-
callbacks	all	15	-	-	-	-
