kind	name	count	total	min	max	mean
metric	plan_us	10	2369608	23464	391763	236960.800
metric	writer_us	10	2137124	79886	266647	213712.400
metric	total_us	10	4506732	262867	610312	450673.200
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	798	0	470	79.800
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	19	1	3	1.900
metric	vm_get_data_us	10	40638	4001	4132	4063.800
metric	vm_get_param2_data_us	10	40520	3816	4328	4052.000
metric	vm_get_light_data_us	10	83841	7673	9195	8384.100
metric	vm_set_data_us	10	72070	6937	7561	7207.000
metric	vm_set_param2_data_us	10	21297	0	7110	2129.700
metric	vm_set_lighting_us	10	1287	45	202	128.700
metric	vm_calc_lighting_us	10	35093	771	6985	3509.300
metric	vm_set_light_data_us	10	69415	6744	7059	6941.500
metric	vm_update_liquids_us	10	9691	887	1080	969.100
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
