kind	name	count	total	min	max	mean
metric	plan_us	10	2327202	22948	427839	232720.200
metric	writer_us	10	2045154	86427	264527	204515.400
metric	total_us	10	4372356	235933	663626	437235.600
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	1664	0	897	166.400
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	20	1	3	2.000
metric	vm_get_data_us	10	43732	4328	4607	4373.200
metric	vm_get_param2_data_us	10	43554	4220	4598	4355.400
metric	vm_get_light_data_us	10	78322	0	9203	7832.200
metric	vm_set_data_us	10	73334	7273	7545	7333.400
metric	vm_set_param2_data_us	10	21553	0	7354	2155.300
metric	vm_set_lighting_us	10	1063	0	154	106.300
metric	vm_calc_lighting_us	10	29748	0	5843	2974.800
metric	vm_set_light_data_us	10	64607	0	7356	6460.700
metric	vm_update_liquids_us	10	8762	0	1137	876.200
writer_result	applied_clq	6	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
