kind	name	count	total	min	max	mean
metric	plan_us	10	2525044	24805	511447	252504.400
metric	writer_us	10	2353050	89391	333013	235305.000
metric	total_us	10	4878094	279728	844460	487809.400
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	1664	0	897	166.400
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	24	2	4	2.400
metric	vm_get_data_us	10	40938	3868	4258	4093.800
metric	vm_get_param2_data_us	10	40232	3826	4097	4023.200
metric	vm_get_light_data_us	10	74318	0	8695	7431.800
metric	vm_set_data_us	10	72405	7088	7383	7240.500
metric	vm_set_param2_data_us	10	21142	0	7124	2114.200
metric	vm_set_lighting_us	10	1324	0	194	132.400
metric	vm_calc_lighting_us	10	30350	0	6024	3035.000
metric	vm_set_light_data_us	10	63479	0	7201	6347.900
metric	vm_update_liquids_us	10	10252	0	1576	1025.200
writer_result	applied_clq	6	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
