kind	name	count	total	min	max	mean
metric	plan_us	10	2435848	24293	380793	243584.800
metric	writer_us	10	2323436	100688	369993	232343.600
metric	total_us	10	4759284	124981	750786	475928.400
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	1664	0	897	166.400
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	28	1	8	2.800
metric	vm_get_data_us	10	40938	3896	4264	4093.800
metric	vm_get_param2_data_us	10	39897	3796	4220	3989.700
metric	vm_get_light_data_us	10	74428	0	8643	7442.800
metric	vm_set_data_us	10	74027	6983	7975	7402.700
metric	vm_set_param2_data_us	10	21991	0	7389	2199.100
metric	vm_set_lighting_us	10	1418	0	237	141.800
metric	vm_calc_lighting_us	10	31827	0	5601	3182.700
metric	vm_set_light_data_us	10	65654	0	8064	6565.400
metric	vm_update_liquids_us	10	10204	0	1545	1020.400
writer_result	applied_clq	6	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
