kind	name	count	total	min	max	mean
metric	plan_us	10	2373610	22502	372722	237361.000
metric	writer_us	10	2616435	82224	350617	261643.500
metric	total_us	10	4990045	104726	723339	499004.500
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	798	0	470	79.800
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	24	1	6	2.400
metric	vm_get_data_us	10	40797	3813	4358	4079.700
metric	vm_get_param2_data_us	10	40835	3827	4357	4083.500
metric	vm_get_light_data_us	10	80992	7633	8708	8099.200
metric	vm_set_data_us	10	71141	6959	7255	7114.100
metric	vm_set_param2_data_us	10	20874	0	7121	2087.400
metric	vm_set_lighting_us	10	1320	31	241	132.000
metric	vm_calc_lighting_us	10	33997	814	5826	3399.700
metric	vm_set_light_data_us	10	69693	6779	7271	6969.300
metric	vm_update_liquids_us	10	9813	892	1134	981.300
writer_result	applied_clq	7	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
