kind	name	count	total	min	max	mean
metric	plan_us	10	2288303	24908	322065	228830.300
metric	writer_us	10	2090503	83429	295667	209050.300
metric	total_us	10	4378806	108337	617732	437880.600
metric	columns	10	64000	6400	6400	6400.000
metric	candidate_cells	10	490	49	49	49.000
metric	candidates	10	1664	0	897	166.400
metric	r5_runs	10	198400	6400	25600	19840.000
metric	vm_get_emerged_area_us	10	24	2	3	2.400
metric	vm_get_data_us	10	40079	3804	4080	4007.900
metric	vm_get_param2_data_us	10	40031	3790	4104	4003.100
metric	vm_get_light_data_us	10	72886	0	8700	7288.600
metric	vm_set_data_us	10	71576	6962	7255	7157.600
metric	vm_set_param2_data_us	10	21143	0	7156	2114.300
metric	vm_set_lighting_us	10	1210	0	192	121.000
metric	vm_calc_lighting_us	10	28569	0	4760	2856.900
metric	vm_set_light_data_us	10	63380	0	7334	6338.000
metric	vm_update_liquids_us	10	9064	0	1278	906.400
writer_result	applied_clq	6	-	-	-	-
writer_result	applied_c	1	-	-	-	-
writer_result	applied_cplq	3	-	-	-	-
callbacks	all	10	-	-	-	-
