kind	name	count	total	min	max	mean
metric	plan_us	22	5006260	137937	355628	227557.273
metric	writer_us	22	8474498	269900	537222	385204.455
metric	total_us	22	13480758	437834	892850	612761.727
metric	columns	22	140800	6400	6400	6400.000
metric	candidate_cells	22	1078	49	49	49.000
metric	candidates	22	2481	0	472	112.773
metric	r5_runs	22	542056	6400	25790	24638.909
metric	vm_get_emerged_area_us	22	59	1	10	2.682
metric	vm_get_data_us	22	90169	3865	4304	4098.591
metric	vm_get_param2_data_us	22	92643	3813	6425	4211.045
metric	vm_get_light_data_us	22	179918	7680	9464	8178.091
metric	vm_set_data_us	22	161695	7074	8551	7349.773
metric	vm_set_param2_data_us	22	85655	0	7519	3893.409
metric	vm_set_lighting_us	22	3922	135	333	178.273
metric	vm_calc_lighting_us	22	101920	797	7583	4632.727
metric	vm_set_light_data_us	22	156943	6850	7560	7133.773
metric	vm_update_liquids_us	22	22432	910	1556	1019.636
writer_result	applied_clq	10	-	-	-	-
writer_result	applied_cplq	12	-	-	-	-
callbacks	all	22	-	-	-	-
