kind	name	count	total	min	max	mean
metric	plan_us	21	4984605	144539	370757	237362.143
metric	writer_us	21	5370464	189103	324472	255736.381
metric	total_us	21	10355069	365646	625687	493098.524
metric	columns	21	134400	6400	6400	6400.000
metric	candidate_cells	21	1029	49	49	49.000
metric	candidates	21	3960	0	944	188.571
metric	r5_runs	21	535633	24640	25779	25506.333
metric	vm_get_emerged_area_us	21	38	1	3	1.810
metric	vm_get_data_us	21	86351	3901	4442	4111.952
metric	vm_get_param2_data_us	21	86187	3799	4661	4104.143
metric	vm_get_light_data_us	21	173830	7624	8969	8277.619
metric	vm_set_data_us	21	154871	7094	8600	7374.810
metric	vm_set_param2_data_us	21	79167	0	7543	3769.857
metric	vm_set_lighting_us	21	3204	130	181	152.571
metric	vm_calc_lighting_us	21	98572	2973	7102	4693.905
metric	vm_set_light_data_us	21	149570	6910	7956	7122.381
metric	vm_update_liquids_us	21	20810	915	1205	990.952
writer_result	applied_clq	10	-	-	-	-
writer_result	applied_cplq	11	-	-	-	-
callbacks	all	21	-	-	-	-
