kind	name	count	total	min	max	mean
metric	plan_us	21	5075440	135721	355590	241687.619
metric	writer_us	21	5159488	189579	298947	245689.905
metric	total_us	21	10234928	391476	597293	487377.524
metric	columns	21	134400	6400	6400	6400.000
metric	candidate_cells	21	1029	49	49	49.000
metric	candidates	21	3960	0	944	188.571
metric	r5_runs	21	535633	24640	25779	25506.333
metric	vm_get_emerged_area_us	21	59	2	12	2.810
metric	vm_get_data_us	21	88647	3873	6887	4221.286
metric	vm_get_param2_data_us	21	87046	3788	6463	4145.048
metric	vm_get_light_data_us	21	173130	7695	8880	8244.286
metric	vm_set_data_us	21	153375	6987	8489	7303.571
metric	vm_set_param2_data_us	21	78260	0	7468	3726.667
metric	vm_set_lighting_us	21	3313	124	297	157.762
metric	vm_calc_lighting_us	21	98826	3065	6937	4706.000
metric	vm_set_light_data_us	21	148799	7019	7458	7085.667
metric	vm_update_liquids_us	21	20380	922	1097	970.476
writer_result	applied_clq	10	-	-	-	-
writer_result	applied_cplq	11	-	-	-	-
callbacks	all	21	-	-	-	-
