kind	name	count	total	min	max	mean
metric	plan_us	62	10081046	19907	331997	162597.516
metric	writer_us	62	13988573	76714	416493	225622.145
metric	total_us	62	24069619	106904	617901	388219.661
metric	columns	62	396800	6400	6400	6400.000
metric	candidate_cells	62	3038	49	49	49.000
metric	candidates	62	9780	0	1438	157.742
metric	r5_runs	62	1156663	6400	25790	18655.855
metric	vm_get_emerged_area_us	62	131	1	5	2.113
metric	vm_get_data_us	62	253583	3797	4412	4090.048
metric	vm_get_param2_data_us	62	251392	3787	4364	4054.710
metric	vm_get_light_data_us	62	508844	7787	9245	8207.161
metric	vm_set_data_us	62	444128	6923	7481	7163.355
metric	vm_set_param2_data_us	62	282073	0	7324	4549.565
metric	vm_set_lighting_us	62	9405	39	605	151.694
metric	vm_calc_lighting_us	62	431686	875	13438	6962.677
metric	vm_set_light_data_us	62	434017	6744	7311	7000.274
metric	vm_update_liquids_us	62	61624	893	1669	993.935
writer_result	applied_clq	22	-	-	-	-
writer_result	applied_cplq	40	-	-	-	-
callbacks	all	62	-	-	-	-
