kind	name	count	total	min	max	mean
metric	plan_us	92	18071756	26095	576680	196432.130
metric	writer_us	92	18336807	35989	453163	199313.120
metric	total_us	92	36408563	62588	1029843	395745.250
metric	columns	92	588800	6400	6400	6400.000
metric	candidate_cells	92	4508	49	49	49.000
metric	candidates	92	82710	0	3464	899.022
metric	r5_runs	92	1357332	6400	25797	14753.609
metric	vm_get_emerged_area_us	92	158	1	13	1.717
metric	vm_get_data_us	92	393671	4056	5154	4279.033
metric	vm_get_param2_data_us	92	392478	4054	4766	4266.065
metric	vm_get_light_data_us	92	597993	0	9205	6499.924
metric	vm_set_data_us	92	510992	0	7679	5554.261
metric	vm_set_param2_data_us	92	376309	0	7359	4090.315
metric	vm_set_lighting_us	92	8338	0	174	90.630
metric	vm_calc_lighting_us	92	443432	0	13087	4819.913
metric	vm_set_light_data_us	92	499016	0	7362	5424.087
metric	vm_update_liquids_us	92	68703	0	1600	746.772
writer_result	applied_clq	17	-	-	-	-
writer_result	noop_equal_content	22	-	-	-	-
writer_result	applied_cplq	53	-	-	-	-
callbacks	all	92	-	-	-	-
